Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name,Island,iNaturalist taxon name,iNaturalist taxon ID,Observation count
Apostichopus californicus,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Synallactida,,,Stichopodidae,,,Apostichopus,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,giant sea cucumber,Prevost Island,Apostichopus californicus,202640,2
Artedius harringtoni,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Artedius,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,few,open,46,45,scalyhead sculpin,Prevost Island,Artedius harringtoni,117528,2
Balanophyllia elegans,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Dendrophylliidae,,,Balanophyllia,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very abundant,open,50,60,orange cup coral,Prevost Island,Balanophyllia elegans,51799,2
Balanus nubilus,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,giant acorn barnacle,Prevost Island,Balanus nubilus,49127,3
Cadlina luteomarginata,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Cadlinidae,,,Cadlina,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,1,open,46,45,yellow-rimmed nudibranch,Prevost Island,Cadlina luteomarginata,50146,1
Calliostoma ligatum,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,Trochoidea,Calliostomatidae,,,Calliostoma,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,blue topsnail,Prevost Island,Calliostoma ligatum,129920,1
Cancer productus,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Cancer,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,red rock crab,Prevost Island,Cancer productus,47826,3
Ceratostoma foliatum,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,Ceratostoma,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,leafy hornmouth,Prevost Island,Ceratostoma foliatum,116687,2
Clathria pennata,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Microcionidae,,,Clathria,2019-05-05T12:17:00,,Hawkins Island,48.84,-123.36833,few,open,47,45,red velvety sponge 1,Prevost Island,Clathria pennata,63672,1
Cliona californiana,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Clionaida,,,Clionaidae,,,Cliona,2019-05-05T12:17:00,,Hawkins Island,48.84,-123.36833,many,open,47,45,yellow boring sponge,Prevost Island,Cliona californiana,424811,1
Cnemidocarpa finmarkiensis,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,,Cnemidocarpa,2019-05-05T12:17:00,,Hawkins Island,48.84,-123.36833,very many,open,47,45,broadbase tunicate,Prevost Island,Cnemidocarpa finmarkiensis,47807,1
Costaria costata,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,,Costaria,2019-05-05T12:17:00,,Hawkins Island,48.84,-123.36833,few,open,47,45,seersucker kelp,Prevost Island,Costaria costata,125877,1
Crassadoma gigantea,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,Crassadomini,Crassadoma,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,giant rock scallop,Prevost Island,Crassadoma gigantea,54526,3
Cryptochiton stelleri,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,Mopalioidea,Mopaliidae,,,Cryptochiton,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,1,open,50,60,giant Pacific chiton,Prevost Island,Cryptochiton stelleri,49053,1
Cucumaria miniata,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Dendrochirotida,,,Cucumariidae,,,Cucumaria,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,red sea cucumber,Prevost Island,Cucumaria miniata,117695,2
Dendronotus iris,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,giant nudibranch,Prevost Island,Dendronotus iris,47706,1
Dermasterias imbricata,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Asteropseidae,,,Dermasterias,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,leather star,Prevost Island,Dermasterias imbricata,63382,3
Diaulula odonoghuei,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Diaulula,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,1,open,50,60,spotted leopard dorid,Prevost Island,Diaulula odonoghuei,508237,1
Distaplia occidentalis,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Holozoidae,,,Distaplia,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,abundant,open,50,60,mushroom compound tunicate,Prevost Island,Distaplia occidentalis,347339,1
Dodecaceria fewkesi,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,,,Cirratulidae,,,Dodecaceria,2019-05-05T12:00:00,logged as fringed tube worm,Hawkins Island,48.84,-123.36833,abundant,open,50,60,fringed filament-worm,Prevost Island,Dodecaceria fewkesi,192656,3
Doris montereyensis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,Doris,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,Monterey sea lemon,Prevost Island,Doris montereyensis,47469,2
Evasterias troschelii,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Evasterias,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,mottled star,Prevost Island,Evasterias troschelii,84265,2
Henricia leviuscula leviuscula,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,Henricia,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,blood star,Prevost Island,Henricia leviuscula,47664,2
Hermissenda crassicornis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Facelinidae,,,Hermissenda,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,1,open,46,45,opalescent nudibranch,Prevost Island,Hermissenda crassicornis,495552,1
Hexagrammos decagrammus,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Hexagramminae,,Hexagrammos,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,1,open,46,45,kelp greenling,Prevost Island,Hexagrammos decagrammus,68596,2
