type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,vntype,haslength
PhysicalObject,15:00.0,http://creativecommons.org/licenses/by/4.0/legalcode,Canadian Museum of Nature,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Record ID: 40d61a3d-987e-87e4-d6b8-292faf4658f1. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),http://portal.vertnet.org/o/cmn/cmnfi?id=40d61a3d-987e-87e4-d6b8-292faf4658f1,http://biocol.org/urn:lsid:biocol.org:col:34935,http://grbio.org/cool/fpjs-vpys,https://doi.org/10.15468/va0trp,CMN,CMNFI,Fish,PreservedSpecimen,,,,40d61a3d-987e-87e4-d6b8-292faf4658f1,CMNFI 1985-0087.5,,"Genereux, K.D.",1,,,,,,,small jar,,,,,,,,,,,,,,,,,,6/9/82,,160,160,1982,6,9,1982-06-09; time: 16:30; duration: 18 min,,,,,,CMNFI 1985-0087,,,,,,,Canada,,British Columbia,Renfrew Land Distr.,,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,,,,,,,,,,,48.880556,-123.433333,not recorded,,,,"48Â° 52' 50"" N","123Â° 26' 0"" W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apodichthys flavidus,,,,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Perciformes; Zoarcoidei; Stichaeoidea; Pholidae; Apodichthyinae; Apodichthys,,,,,,,,,,species,,Girard  1854,,,,,,,,,,,,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),dc3bfd08-0141-45ae-9603-91ac50cdc33b,a41250f0-7c3e-11d8-a19c-b8a03c50a862,dshorthouse@mus-nature.ca,David Shorthouse,1/24/18,2/3/18,no migrator,0,0,0,0,specimen,0
PhysicalObject,15:00.0,http://creativecommons.org/licenses/by/4.0/legalcode,Canadian Museum of Nature,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Record ID: 15af1d99-919f-19f4-3e9e-5281081a8953. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),http://portal.vertnet.org/o/cmn/cmnfi?id=15af1d99-919f-19f4-3e9e-5281081a8953,http://biocol.org/urn:lsid:biocol.org:col:34935,http://grbio.org/cool/fpjs-vpys,https://doi.org/10.15468/va0trp,CMN,CMNFI,Fish,PreservedSpecimen,,,,15af1d99-919f-19f4-3e9e-5281081a8953,CMNFI 1985-0087.1,,"Genereux, K.D.",15,,,,,,,small jar,,,,,,,,,,,,,,,,,,6/9/82,,160,160,1982,6,9,1982-06-09; time: 16:30; duration: 18 min,,,,,,CMNFI 1985-0087,,,,,,,Canada,,British Columbia,Renfrew Land Distr.,,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,,,,,,,,,,,48.880556,-123.433333,not recorded,,,,"48Â° 52' 50"" N","123Â° 26' 0"" W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cymatogaster aggregata,,,,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Perciformes; Labroidei; Embiotocidae; Cymatogaster,,,,,,,,,,species,,Gibbons  1854,,,,,,,,,,,,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),dc3bfd08-0141-45ae-9603-91ac50cdc33b,a41250f0-7c3e-11d8-a19c-b8a03c50a862,dshorthouse@mus-nature.ca,David Shorthouse,1/24/18,2/3/18,no migrator,0,0,0,0,specimen,0
PhysicalObject,15:00.0,http://creativecommons.org/licenses/by/4.0/legalcode,Canadian Museum of Nature,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Record ID: 078ed2cc-559e-59e4-e0bb-91d0717bcc7e. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),http://portal.vertnet.org/o/cmn/cmnfi?id=078ed2cc-559e-59e4-e0bb-91d0717bcc7e,http://biocol.org/urn:lsid:biocol.org:col:34935,http://grbio.org/cool/fpjs-vpys,https://doi.org/10.15468/va0trp,CMN,CMNFI,Fish,PreservedSpecimen,,,,078ed2cc-559e-59e4-e0bb-91d0717bcc7e,CMNFI 1985-0086.1,,"Kasserra, Claudia E.",3,,,,,,,small jar,,,,,,,,,,,,,,,,,,6/8/82,,159,159,1982,6,8,1982-06-08; time: 20:00; duration: 14 h,,,,,,CMNFI 1985-0086,,,,,,,Canada,,British Columbia,Renfrew Land Distr.,,"Strait of Georgia, Montague Harbour, Southwest of Galiano Island, Southeast of Vancouver Island",,,,0 m,,,,,,,,48.883333,-123.433333,not recorded,,,,"48Â° 53' 0"" N","123Â° 26' 0"" W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Embiotoca lateralis,,,,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Perciformes; Labroidei; Embiotocidae; Embiotoca,,,,,,,,,,species,,Agassiz  1854,,,,,,,,,,,,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),dc3bfd08-0141-45ae-9603-91ac50cdc33b,a41250f0-7c3e-11d8-a19c-b8a03c50a862,dshorthouse@mus-nature.ca,David Shorthouse,1/24/18,2/3/18,no migrator,0,0,0,0,specimen,0
PhysicalObject,15:00.0,http://creativecommons.org/licenses/by/4.0/legalcode,Canadian Museum of Nature,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Record ID: 6a11231a-d948-9484-49b0-5cd70de4e55c. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),http://portal.vertnet.org/o/cmn/cmnfi?id=6a11231a-d948-9484-49b0-5cd70de4e55c,http://biocol.org/urn:lsid:biocol.org:col:34935,http://grbio.org/cool/fpjs-vpys,https://doi.org/10.15468/va0trp,CMN,CMNFI,Fish,PreservedSpecimen,,,,6a11231a-d948-9484-49b0-5cd70de4e55c,CMNFI 1985-0086.4,,"Kasserra, Claudia E.",3,,,,,,,2-5 gal jar,,,,,,,,,,,,,,,,,,6/8/82,,159,159,1982,6,8,1982-06-08; time: 20:00; duration: 14 h,,,,,,CMNFI 1985-0086,,,,,,,Canada,,British Columbia,Renfrew Land Distr.,,"Strait of Georgia, Montague Harbour, Southwest of Galiano Island, Southeast of Vancouver Island",,,,0 m,,,,,,,,48.883333,-123.433333,not recorded,,,,"48Â° 53' 0"" N","123Â° 26' 0"" W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hexagrammos decagrammus,,,,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Hexagrammoidei; Hexagrammidae; Hexagrammos,,,,,,,,,,species,,(Pallas  1810),,,,,,,,,,,,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),dc3bfd08-0141-45ae-9603-91ac50cdc33b,a41250f0-7c3e-11d8-a19c-b8a03c50a862,dshorthouse@mus-nature.ca,David Shorthouse,1/24/18,2/3/18,no migrator,0,0,0,0,specimen,0
PhysicalObject,15:00.0,http://creativecommons.org/licenses/by/4.0/legalcode,Canadian Museum of Nature,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Record ID: 14c8b332-78f4-8f44-c4ae-1a2bf2df2760. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),http://portal.vertnet.org/o/cmn/cmnfi?id=14c8b332-78f4-8f44-c4ae-1a2bf2df2760,http://biocol.org/urn:lsid:biocol.org:col:34935,http://grbio.org/cool/fpjs-vpys,https://doi.org/10.15468/va0trp,CMN,CMNFI,Fish,PreservedSpecimen,,,,14c8b332-78f4-8f44-c4ae-1a2bf2df2760,CMNFI 1985-0087.2,,"Genereux, K.D.",1,,,,,,,small jar,,,,,,,,,,,,,,,,,,6/9/82,,160,160,1982,6,9,1982-06-09; time: 16:30; duration: 18 min,,,,,,CMNFI 1985-0087,,,,,,,Canada,,British Columbia,Renfrew Land Distr.,,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,,,,,,,,,,,48.880556,-123.433333,not recorded,,,,"48Â° 52' 50"" N","123Â° 26' 0"" W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peden, Alex E.",Jun-87,,,,,,Hexagrammos stelleri,,,,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Hexagrammoidei; Hexagrammidae; Hexagrammos,,,,,,,,,,species,,Tilesius  1810,,,,,,,,,,,,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),dc3bfd08-0141-45ae-9603-91ac50cdc33b,a41250f0-7c3e-11d8-a19c-b8a03c50a862,dshorthouse@mus-nature.ca,David Shorthouse,1/24/18,2/3/18,no migrator,0,0,0,0,specimen,0
PhysicalObject,15:00.0,http://creativecommons.org/licenses/by/4.0/legalcode,Canadian Museum of Nature,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Record ID: c681f4c5-4fb1-fb14-f0ad-c52db028dfc1. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),http://portal.vertnet.org/o/cmn/cmnfi?id=c681f4c5-4fb1-fb14-f0ad-c52db028dfc1,http://biocol.org/urn:lsid:biocol.org:col:34935,http://grbio.org/cool/fpjs-vpys,https://doi.org/10.15468/va0trp,CMN,CMNFI,Fish,PreservedSpecimen,,,,c681f4c5-4fb1-fb14-f0ad-c52db028dfc1,CMNFI 1985-0088.3,,"Ellis, J.M.",24,,,,,,,small jar,,,,,,,,,,,,,,,,,,6/9/82,,160,160,1982,6,9,1982-06-09; time: 17:00; duration: 18 min,,,,,,CMNFI 1985-0088,,,,,,,Canada,,British Columbia,Renfrew Land Distr.,,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,,,,,,,,,,,48.880556,-123.333333,not recorded,,,,"48Â° 52' 50"" N","123Â° 20' 0"" W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leptocottus armatus,,,,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Cottoidei; Cottidae; Leptocottus,,,,,,,,,,species,,Girard  1854,,,,,,,,,,,,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),dc3bfd08-0141-45ae-9603-91ac50cdc33b,a41250f0-7c3e-11d8-a19c-b8a03c50a862,dshorthouse@mus-nature.ca,David Shorthouse,1/24/18,2/3/18,no migrator,0,0,0,0,specimen,0
PhysicalObject,15:00.0,http://creativecommons.org/licenses/by/4.0/legalcode,Canadian Museum of Nature,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Record ID: 4af12c32-8493-4934-ba8d-1b36a7fe0fbd. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),http://portal.vertnet.org/o/cmn/cmnfi?id=4af12c32-8493-4934-ba8d-1b36a7fe0fbd,http://biocol.org/urn:lsid:biocol.org:col:34935,http://grbio.org/cool/fpjs-vpys,https://doi.org/10.15468/va0trp,CMN,CMNFI,Fish,PreservedSpecimen,,,,4af12c32-8493-4934-ba8d-1b36a7fe0fbd,CMNFI 1985-0087.3,,"Genereux, K.D.",1,,,,,,,small jar,,,,,,,,,,,,,,,,,,6/9/82,,160,160,1982,6,9,1982-06-09; time: 16:30; duration: 18 min,,,,,,CMNFI 1985-0087,,,,,,,Canada,,British Columbia,Renfrew Land Distr.,,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,,,,,,,,,,,48.880556,-123.433333,not recorded,,,,"48Â° 52' 50"" N","123Â° 26' 0"" W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leptocottus armatus,,,,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Cottoidei; Cottidae; Leptocottus,,,,,,,,,,species,,Girard  1854,,,,,,,,,,,,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),dc3bfd08-0141-45ae-9603-91ac50cdc33b,a41250f0-7c3e-11d8-a19c-b8a03c50a862,dshorthouse@mus-nature.ca,David Shorthouse,1/24/18,2/3/18,no migrator,0,0,0,0,specimen,0
PhysicalObject,15:00.0,http://creativecommons.org/licenses/by/4.0/legalcode,Canadian Museum of Nature,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Record ID: edf92d7a-a39a-39a4-daa8-2c44c1cb5a29. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),http://portal.vertnet.org/o/cmn/cmnfi?id=edf92d7a-a39a-39a4-daa8-2c44c1cb5a29,http://biocol.org/urn:lsid:biocol.org:col:34935,http://grbio.org/cool/fpjs-vpys,https://doi.org/10.15468/va0trp,CMN,CMNFI,Fish,PreservedSpecimen,,,,edf92d7a-a39a-39a4-daa8-2c44c1cb5a29,CMNFI 1985-0087.4,,"Genereux, K.D.",1,,,,,,,"small jar, adult",,,,,,,,,,,,,,,,,,6/9/82,,160,160,1982,6,9,1982-06-09; time: 16:30; duration: 18 min,,,,,,CMNFI 1985-0087,,,,,,,Canada,,British Columbia,Renfrew Land Distr.,,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,,,,,,,,,,,48.880556,-123.433333,not recorded,,,,"48Â° 52' 50"" N","123Â° 26' 0"" W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myoxocephalus polyacanthocephalus,,,,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Cottoidei; Cottidae; Myoxocephalus,,,,,,,,,,species,,(Pallas  1814),,,,,,,,,,,,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),dc3bfd08-0141-45ae-9603-91ac50cdc33b,a41250f0-7c3e-11d8-a19c-b8a03c50a862,dshorthouse@mus-nature.ca,David Shorthouse,1/24/18,2/3/18,no migrator,0,0,0,0,specimen,0
PhysicalObject,15:00.0,http://creativecommons.org/licenses/by/4.0/legalcode,Canadian Museum of Nature,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Record ID: 6215930d-a580-5804-5fb1-da1d0102203d. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),http://portal.vertnet.org/o/cmn/cmnfi?id=6215930d-a580-5804-5fb1-da1d0102203d,http://biocol.org/urn:lsid:biocol.org:col:34935,http://grbio.org/cool/fpjs-vpys,https://doi.org/10.15468/va0trp,CMN,CMNFI,Fish,PreservedSpecimen,,,,6215930d-a580-5804-5fb1-da1d0102203d,CMNFI 1985-0088.4,,"Ellis, J.M.",39,,,,,,,small jar,,,,,,,,,,,,,,,,,,6/9/82,,160,160,1982,6,9,1982-06-09; time: 17:00; duration: 18 min,,,,,,CMNFI 1985-0088,,,,,,,Canada,,British Columbia,Renfrew Land Distr.,,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,,,,,,,,,,,48.880556,-123.333333,not recorded,,,,"48Â° 52' 50"" N","123Â° 20' 0"" W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coad, Brian W.",Mar-85,,,,,,Oligocottus maculosus,,,,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Cottoidei; Cottidae; Oligocottus,,,,,,,,,,species,,Girard  1856,,,,,,,,,,,,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),dc3bfd08-0141-45ae-9603-91ac50cdc33b,a41250f0-7c3e-11d8-a19c-b8a03c50a862,dshorthouse@mus-nature.ca,David Shorthouse,1/24/18,2/3/18,no migrator,0,0,0,0,specimen,0
PhysicalObject,15:00.0,http://creativecommons.org/licenses/by/4.0/legalcode,Canadian Museum of Nature,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Record ID: 6dff9e8e-5260-2604-74a6-6476297f1339. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),http://portal.vertnet.org/o/cmn/cmnfi?id=6dff9e8e-5260-2604-74a6-6476297f1339,http://biocol.org/urn:lsid:biocol.org:col:34935,http://grbio.org/cool/fpjs-vpys,https://doi.org/10.15468/va0trp,CMN,CMNFI,Fish,PreservedSpecimen,,,,6dff9e8e-5260-2604-74a6-6476297f1339,CMNFI 1985-0088.1,,"Ellis, J.M.",2,,,,,,,small jar,,,,,,,,,,,,,,,,,,6/9/82,,160,160,1982,6,9,1982-06-09; time: 17:00; duration: 18 min,,,,,,CMNFI 1985-0088,,,,,,,Canada,,British Columbia,Renfrew Land Distr.,,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,,,,,,,,,,,48.880556,-123.333333,not recorded,,,,"48Â° 52' 50"" N","123Â° 20' 0"" W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parophrys vetulus,,,,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Pleuronectiformes; Pleuronectoidei; Pleuronectidae; Pleuronectinae; Parophrys,,,,,,,,,,species,,Girard  1854,,,,,,,,,,,,,Canadian Museum of Nature. Canadian Museum of Nature Fish Collection. Source: http://ipt.nature.ca/resource.do?r=cmn_fish (source published on 2018-01-24),dc3bfd08-0141-45ae-9603-91ac50cdc33b,a41250f0-7c3e-11d8-a19c-b8a03c50a862,dshorthouse@mus-nature.ca,David Shorthouse,1/24/18,2/3/18,no migrator,0,0,0,0,specimen,0
