Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes,taxonName,authority
Adoxaceae,Sambucus cerulea Raf.,,Forest,1,,,,,,Sambucus cerulea,Raf.
Adoxaceae,Sambucus racemosa L.,var. arborescens,Forest,50,,,,,,Sambucus racemosa,L.
Alismataceae,Alisma triviale Pursh,,Wetland,1,,,,,,Alisma triviale,Pursh
Amaranthaceae,Amaranthus blitoides S. Watson*,,Open,1,,,,,,Amaranthus blitoides,S. Watson*
Amaranthaceae,Amaranthus powellii S. Watson*,,Open,1,,,,,,Amaranthus powellii,S. Watson*
Amaranthaceae,Atriplex dioica Raf.,,Shoreline,87,,,,,,Atriplex dioica,Raf.
Amaranthaceae,Atriplex gmelinii C.A. Mey. ex Bong.,var. gmelinii,Shoreline,26,,,,,,Atriplex gmelinii,C.A. Mey. ex Bong.
Amaranthaceae,Atriplex littoralis L.*,,Shoreline,1,,,,,,Atriplex littoralis,L.*
Amaranthaceae,Atriplex patula L.*,,Shoreline,5,,,,,,Atriplex patula,L.*
Amaranthaceae,Atriplex prostrata Boucher ex DC.*,,Shoreline,40,,,,,,Atriplex prostrata,Boucher ex DC.*
Amaranthaceae,"Chenopodiastrum murale (L.) S. Fuentes, Uotila & Borsch*",,Open,1,,,,,,Chenopodiastrum murale,"(L.) S. Fuentes, Uotila & Borsch*"
Amaranthaceae,Chenopodium berlandieri Moq.,var. zschackei,Shoreline,19,,,,,,Chenopodium berlandieri,Moq.
Amaranthaceae,Chenopodium leptophyllum (Moq.) Nutt. ex S. Watson,var. leptophyllum,Open,1,,,,,,Chenopodium leptophyllum,(Moq.) Nutt. ex S. Watson
Amaranthaceae,Chenopodium macrosperma Hook.f,,Wetland,1,,,,,,Chenopodium macrosperma,Hook.f
Amaranthaceae,"Oxybasis rubra (L.) S. Fuentes, Uotila & Borsch",,Shoreline,2,,,,,,Oxybasis rubra,"(L.) S. Fuentes, Uotila & Borsch"
Amaranthaceae,Salicornia depressa Standl.,,Shoreline,3,,,,,,Salicornia depressa,Standl.
Amaranthaceae,Salicornia pacifica Standl.,,Shoreline,54,,,,,,Salicornia pacifica,Standl.
Amaranthaceae,Sarcocornia pacifica Standl.,,Shoreline,5,,,,,,Sarcocornia pacifica,Standl.
Amaryllidaceae,Allium acuminatum Hook.,,Open,97,,,,,,Allium acuminatum,Hook.
Amaryllidaceae,Allium amplectens Torr.,,Open,2,,,,,,Allium amplectens,Torr.
Amaryllidaceae,Allium cernuum Roth,,Shoreline,74,,,,,,Allium cernuum,Roth
Amaryllidaceae,Allium sativum L.*,,Open,2,,,,,,Allium sativum,L.*
Amaryllidaceae,Allium vineale L.*,,Open,2,,,,,,Allium vineale,L.*
Amaryllidaceae,Narcissus poeticus L.*,,Open,5,,,,,,Narcissus poeticus,L.*
Amaryllidaceae,Narcissus pseudonarcissus L.*,,Forest,8,,,,,,Narcissus pseudonarcissus,L.*
Apiaceae,Angelica genuflexa Nutt.,,Wetland,1,,,,,,Angelica genuflexa,Nutt.
Apiaceae,Angelica lucida L.,,Shoreline,2,,,,,,Angelica lucida,L.
