Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes,taxonName,infraTaxonName,authority,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species
Adoxaceae,Sambucus cerulea Raf.,,Forest,1,,,,,,Sambucus cerulea,,Raf.,accepted,143799,Sambucus cerulea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Sambucus,cerulea
Adoxaceae,Sambucus racemosa L.,var. arborescens,Forest,50,,,,,,Sambucus racemosa,Sambucus racemosa var. arborescens,L.,accepted,543175,Sambucus racemosa arborescens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Sambucus,racemosa
Alismataceae,Alisma triviale Pursh,,Wetland,1,,,,,,Alisma triviale,,Pursh,accepted,61167,Alisma triviale,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Alismataceae,,,Alisma,triviale
Amaranthaceae,Amaranthus blitoides S. Watson*,,Open,1,,,,,,Amaranthus blitoides,,S. Watson*,accepted,58774,Amaranthus blitoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,blitoides
Amaranthaceae,Amaranthus powellii S. Watson*,,Open,1,,,,,,Amaranthus powellii,,S. Watson*,accepted,75398,Amaranthus powellii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,hybridus
Amaranthaceae,Atriplex dioica Raf.,,Shoreline,87,,,,,,Atriplex dioica,,Raf.,accepted,75701,Atriplex dioica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Atriplex,dioica
Amaranthaceae,Atriplex gmelinii C.A. Mey. ex Bong.,var. gmelinii,Shoreline,26,,,,,,Atriplex gmelinii,Atriplex gmelinii var. gmelinii,C.A. Mey. ex Bong.,invalid,75705,Atriplex gmelinii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Atriplex,gmelinii
Amaranthaceae,Atriplex littoralis L.*,,Shoreline,1,,,,,,Atriplex littoralis,,L.*,accepted,159077,Atriplex littoralis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Atriplex,littoralis
Amaranthaceae,Atriplex patula L.*,,Shoreline,5,,,,,,Atriplex patula,,L.*,accepted,60175,Atriplex patula,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Atriplex,patula
Amaranthaceae,Atriplex prostrata Boucher ex DC.*,,Shoreline,40,,,,,,Atriplex prostrata,,Boucher ex DC.*,accepted,60176,Atriplex prostrata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Atriplex,prostrata
Amaranthaceae,"Chenopodiastrum murale (L.) S. Fuentes, Uotila & Borsch*",,Open,1,,,,,,Chenopodiastrum murale,,"(L.) S. Fuentes, Uotila & Borsch*",accepted,514012,Chenopodiastrum murale,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Chenopodiastrum,murale
Amaranthaceae,Chenopodium berlandieri Moq.,var. zschackei,Shoreline,19,,,,,,Chenopodium berlandieri,Chenopodium berlandieri var. zschackei,Moq.,accepted,80552,Chenopodium berlandieri zschackei,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Chenopodieae,Chenopodium,berlandieri
Amaranthaceae,Chenopodium leptophyllum (Moq.) Nutt. ex S. Watson,var. leptophyllum,Open,1,,,,,,Chenopodium leptophyllum,Chenopodium leptophyllum var. leptophyllum,(Moq.) Nutt. ex S. Watson,invalid,76278,Chenopodium leptophyllum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Chenopodieae,Chenopodium,leptophyllum
Amaranthaceae,Chenopodium macrosperma Hook.f,,Wetland,1,,,,,,Chenopodium macrosperma,,Hook.f,unknown,,,,,,,,,,,,,,,,,,
Amaranthaceae,"Oxybasis rubra (L.) S. Fuentes, Uotila & Borsch",,Shoreline,2,,,,,,Oxybasis rubra,,"(L.) S. Fuentes, Uotila & Borsch",accepted,931679,Oxybasis rubra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Chenopodioideae,Atripliceae,Oxybasis,rubra
Amaranthaceae,Salicornia depressa Standl.,,Shoreline,3,,,,,,Salicornia depressa,,Standl.,accepted,78930,Salicornia depressa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Salicornioideae,Salicornieae,Salicornia,depressa
Amaranthaceae,Salicornia pacifica Standl.,,Shoreline,54,,,,,,Salicornia pacifica,,Standl.,accepted,78931,Salicornia pacifica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Salicornioideae,Salicornieae,Salicornia,pacifica
