Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Origin,Status,Reporting,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,First Documented,Documenter,iNaturalist Link,Notes,Stats Code
Arcella gibbosa,,,Protozoa,Amoebozoa,,,Tubulinea,,,Arcellinida,,,Arcellidae,—,—,new 2016,—,—,—,2004-07-14,M. Weber,,,PRO
Arcella sp.,,,Protozoa,Amoebozoa,,,Tubulinea,,,Arcellinida,,,Arcellidae,—,—,new 2016,—,—,—,2004-07-14,M. Weber,,,PRO
Caloplaca chrysodeta,(Vain.) Dombr.,—,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,—,,new 2015,—,—,—,2015-02-22,A. Simon,http://www.inaturalist.org/observations/2566221,,LIC
Caloplaca citrina,(Hoffm.) Th. Fr.,mealy firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,—,,new 2015,—,—,—,2015-10-08,L. Magner & A. Simon,http://www.inaturalist.org/observations/2647564,,LIC
Caloplaca marina,?,—,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,—,,new 2017,—,—,—,2017-03-12,A. Simon,https://www.inaturalist.org/observations/5296400,,LIC
Chlorociboria sp.,—,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,Leotiomycetidae,,Helotiales,,,Helotiaceae,—,,documented,—,—,—,2013-10-11,I. Guthrie,http://www.inaturalist.org/observations/4209535,,FUN
Chrysothrix chlorina s. lat.,(Ach.) J.R. Laundon,sulphur dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,—,—,new 2015,—,—,—,2015-03-13,L. Magner & A. Simon,http://www.inaturalist.org/observations/2580126,,LIC
Chrysothrix granulosa,G. Thor,,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,—,,new 2017,—,—,—,2017-02-11,A. Simon,https://www.inaturalist.org/observations/5094572,,LIC
Cladonia albonigra,Brodo & Ahti,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,,new 2015,—,—,—,2015-08-28,A. Simon,https://www.inaturalist.org/observations/5288435,,LIC
Cladonia cariosa,(Ach.) Spreng.,split-peg lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,,new 2017,—,—,—,2017-06-18,A. Simon,http://inaturalist.ca/observations/6714908,,LIC
Cladonia cenotea,,powdered funnel lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,—,new 2016,—,—,—,2016-12-22,A. Simon,https://www.inaturalist.org/observations/4834210,,LIC
Cladonia cf asahinae,J.W. Thomson,Asahina's pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,,new 2017,—,—,—,2017-02-25,A. Simon,,,LIC
Cladonia chlorophaea,,mealy pixie cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,new 2015,—,—,—,2015-08-28,A. Simon,https://www.inaturalist.org/observations/5288560,,LIC
Cladonia coniocraea,,common powderhorn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,—,new 2015,—,—,—,2015-10-08,L. Magner & A. Simon,http://www.inaturalist.org/observations/2647302,,LIC
Cladonia scabriuscula,,mealy forked Cladonia,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,—,new 2015,—,—,—,2015-03-26,A. Simon,http://www.inaturalist.org/observations/2588105,,LIC
Cladonia transcendens,,graduated pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,,new 2017,—,—,—,2017-06-18,A. Simon,http://inaturalist.ca/observations/6714894,,LIC
