id,time_observed_at,observed_on,user_login,user_name,quality_grade,coordinates_obscured,image_url,positional_accuracy,positioning_method,positioning_device,scientific_name,common_name,captive,taxon_id,taxon_rank,latitude,longitude,private_latitude,private_longitude,phylum
163804383,2023-05-26T04:21:49-07:00,2023-05-26,kevintoo,Kevin Toomer,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283358963/square.jpeg,43,,,Pero behrensaria,Behr's Pero Moth,false,227513,species,48.873019,-123.346589,,,Arthropoda
163804445,2023-05-26T04:21:49-07:00,2023-05-26,kevintoo,Kevin Toomer,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283359114/square.jpeg,43,,,Hydriomena,,false,68651,genus,48.873019,-123.346589,,,Arthropoda
163804481,2023-05-26T04:21:49-07:00,2023-05-26,kevintoo,Kevin Toomer,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283359233/square.jpeg,43,,,Hydriomena,,false,68651,genus,48.873019,-123.346589,,,Arthropoda
163804528,2023-05-26T04:21:49-07:00,2023-05-26,kevintoo,Kevin Toomer,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283359364/square.jpeg,43,,,Ichneumonidae,Ichneumonid Wasps,false,47199,family,48.873019,-123.346589,,,Arthropoda
163804572,2023-05-26T04:21:49-07:00,2023-05-26,kevintoo,Kevin Toomer,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283359452/square.jpeg,43,,,Stamnoctenis pearsalli,,false,452688,species,48.873019,-123.346589,,,Arthropoda
163804639,2023-05-26T04:21:49-07:00,2023-05-26,kevintoo,Kevin Toomer,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283359577/square.jpeg,43,,,Tyria jacobaeae,Cinnabar moth,false,51781,species,48.873019,-123.346589,,,Arthropoda
163804789,2023-05-26T04:21:49-07:00,2023-05-26,kevintoo,Kevin Toomer,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283359976/square.jpeg,43,,,Phyllodesma americana,American Lappet Moth,false,201281,species,48.873019,-123.346589,,,Arthropoda
163804840,2023-05-26T04:21:49-07:00,2023-05-26,kevintoo,Kevin Toomer,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283360079/square.jpeg,43,,,Melanolophia imitata,Western Carpet,false,224588,species,48.873019,-123.346589,,,Arthropoda
163804926,2023-05-26T04:21:49-07:00,2023-05-26,kevintoo,Kevin Toomer,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283360221/square.jpeg,43,,,Panthea virginarius,Western Panthea Moth,false,226911,species,48.873019,-123.346589,,,Arthropoda
163842281,2023-05-26T10:14:38-07:00,2023-05-26,llloyd,Liz,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283426848/square.jpg,4,,,Corallorhiza,Coralroots,false,49445,genus,48.8798216667,-123.408425,,,Tracheophyta
163871432,2023-05-26T08:41:36-07:00,2023-05-26,kevintoo,Kevin Toomer,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283479662/square.jpeg,21,,,Malacosoma californica,Western Tent Caterpillar Moth,false,359294,species,48.870432,-123.320928,,,Arthropoda
163872065,2023-05-26T08:41:36-07:00,2023-05-26,kevintoo,Kevin Toomer,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283480864/square.jpeg,43,,,Eupeodes volucris,Large-tailed Aphideater,false,322357,species,48.866384,-123.33436,,,Arthropoda
163872435,2023-05-26T08:41:36-07:00,2023-05-26,kevintoo,Kevin Toomer,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283481478/square.jpeg,43,,,Eupeodes volucris,Large-tailed Aphideater,false,322357,species,48.866384,-123.33436,,,Arthropoda
163872644,2023-05-26T08:41:36-07:00,2023-05-26,kevintoo,Kevin Toomer,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283481854/square.jpeg,27,,,Lycosidae,Wolf Spiders,false,47416,family,48.867204,-123.338114,,,Arthropoda
163878623,2023-05-26T14:05:13-07:00,2023-05-26,tyrelfroese,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/283493170/square.jpeg,28,,,Sedum spathulifolium,Broad-leaved Stonecrop,false,58886,species,48.9396154605,-123.5015126095,,,Tracheophyta
