iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Author,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Institution Code,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Institution Code,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported,Food Value,Medicinal Value,Spiritual Value,Material Value,Trade Value,Indicator Value,Hulquminum Name,Hulquminum Authority
Alcyonidium pedunculatum,873864,Alcyonidium pedunculatum,0,accepted,"Robertson, 1902",2,"{""imerss.org:PMLS:808"":null,""imerss.org:PMLS:866"":null}",Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Alcyonidiina,,Alcyonidioidea,Alcyonidiidae,,,Alcyonidium,pedunculatum,Charlie Gibbs,PMLS,,,,imerss.org:PMLS:808,1994-02-26T00:00:00.000Z,Charlie Gibbs,PMLS,,,,imerss.org:PMLS:808,1994-02-26T00:00:00.000Z,,,,,,,,
Amathia,195986,Amathia sp.,0,accepted,,2,"{""imerss.org:PMLS:3416"":null,""imerss.org:PMLS:4231"":null}",Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Vesicularina,,Vesicularioidea,Vesiculariidae,,,Amathia,,Andy Lamb,PMLS,,,,imerss.org:PMLS:3416,2006-06-23T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:4231,2006-11-18T00:00:00.000Z,,,,,,,,
Bugulina californica,551808,Bugulina californica,0,accepted,"(Robertson, 1905)",40,"{""imerss.org:PMLS:67"":null,""imerss.org:PMLS:150"":null,""imerss.org:PMLS:198"":null,""imerss.org:PMLS:298"":null,""imerss.org:PMLS:396"":null,""imerss.org:PMLS:484"":null,""imerss.org:PMLS:1282"":null,""imerss.org:PMLS:2331"":null,""imerss.org:PMLS:2889"":null,""imerss.org:PMLS:3417"":null,""imerss.org:PMLS:3545"":null,""imerss.org:PMLS:4120"":null,""imerss.org:PMLS:4232"":null,""imerss.org:PMLS:5763"":null,""imerss.org:PMLS:6092"":null,""imerss.org:PMLS:6399"":null,""imerss.org:PMLS:6999"":null,""imerss.org:PMLS:7131"":null,""imerss.org:PMLS:7412"":null,""imerss.org:PMLS:7524"":null,""imerss.org:PMLS:7627"":null,""imerss.org:PMLS:7727"":null,""imerss.org:PMLS:8030"":null,""imerss.org:PMLS:8675"":null,""imerss.org:PMLS:9537"":null,""imerss.org:PMLS:10843"":null,""imerss.org:PMLS:11300"":null,""imerss.org:PMLS:13169"":null,""imerss.org:PMLS:15359"":null,""imerss.org:PMLS:15705"":null,""imerss.org:PMLS:15937"":null,""imerss.org:PMLS:16233"":null,""imerss.org:PMLS:16322"":null,""imerss.org:PMLS:17712"":null,""imerss.org:PMLS:18335"":null,""imerss.org:PMLS:18571"":null,""iNat:129284429"":null,""iNat:7674532"":null,""iNat:30012077"":null,""iNat:164580477"":null}",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,californica,Andy Lamb,PMLS,,,,imerss.org:PMLS:67,1969-02-22T00:00:00.000Z,,,,,,iNat:164580477,2023-05-28T00:00:00.000Z,,,,,,,,
Caulibugula californica,802658,Caulibugula californica,0,accepted,"Robertson, 1905",1,"{""imerss.org:PMLS:5388"":null}",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Caulibugula,californica,Andy Lamb,PMLS,,,,imerss.org:PMLS:5388,2007-12-15T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:5388,2007-12-15T00:00:00.000Z,,,,,,,,
Cellaria diffusa,196077,Cellaria diffusa,0,accepted,"Robertson, 1905",4,"{""imerss.org:PMLS:1482"":null,""imerss.org:PMLS:4345"":null,""imerss.org:PMLS:5863"":null,""imerss.org:PMLS:7924"":null}",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Cellarioidea,Cellariidae,,,Cellaria,diffusa,Charlie Gibbs,PMLS,,,,imerss.org:PMLS:1482,1995-02-24T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:7924,2008-09-19T00:00:00.000Z,,,,,,,,
Celleporina robertsoniae,485340,Celleporina robertsoniae,0,accepted,"(Canu & Bassler, 1923)",2,"{""imerss.org:PMLS:2760"":null,""imerss.org:PMLS:2894"":null}",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Celleporoidea,Celleporidae,,,Celleporina,robertsoniae,Donna Gibbs,PMLS,,,,imerss.org:PMLS:2760,1997-04-15T00:00:00.000Z,Charlie Gibbs,PMLS,,,,imerss.org:PMLS:2894,1999-07-31T00:00:00.000Z,,,,,,,,
Cribrilina,203432,Cribrilina sp.,0,accepted,,1,"{""iNat:24539878"":null}",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Cribrilinoidea,Cribrilinidae,,,Cribrilina,,,,,,,iNat:24539878,2019-05-04T00:00:00.000Z,,,,,,iNat:24539878,2019-05-04T00:00:00.000Z,,,,,,,,
Crisia,192680,Crisia sp.,0,accepted,,110,"{""imerss.org:PMLS:300"":null,""imerss.org:PMLS:486"":null,""imerss.org:PMLS:568"":null,""imerss.org:PMLS:806"":null,""imerss.org:PMLS:865"":null,""imerss.org:PMLS:936"":null,""imerss.org:PMLS:1026"":null,""imerss.org:PMLS:1116"":null,""imerss.org:PMLS:1279"":null,""imerss.org:PMLS:1481"":null,""imerss.org:PMLS:1583"":null,""imerss.org:PMLS:1677"":null,""imerss.org:PMLS:1849"":null,""imerss.org:PMLS:1924"":null,""imerss.org:PMLS:2037"":null,""imerss.org:PMLS:2101"":null,""imerss.org:PMLS:2236"":null,""imerss.org:PMLS:2439"":null,""imerss.org:PMLS:2523"":null,""imerss.org:PMLS:2609"":null,""imerss.org:PMLS:2702"":null,""imerss.org:PMLS:2795"":null,""imerss.org:PMLS:2891"":null,""imerss.org:PMLS:3209"":null,""imerss.org:PMLS:3320"":null,""imerss.org:PMLS:3418"":null,""imerss.org:PMLS:3546"":null,""imerss.org:PMLS:3681"":null,""imerss.org:PMLS:3918"":null,""imerss.org:PMLS:4003"":null,""imerss.org:PMLS:4121"":null,""imerss.org:PMLS:4429"":null,""imerss.org:PMLS:4628"":null,""imerss.org:PMLS:4740"":null,""imerss.org:PMLS:4864"":null,""imerss.org:PMLS:5059"":null,""imerss.org:PMLS:5200"":null,""imerss.org:PMLS:5299"":null,""imerss.org:PMLS:5576"":null,""imerss.org:PMLS:5665"":null,""imerss.org:PMLS:5764"":null,""imerss.org:PMLS:5992"":null,""imerss.org:PMLS:6093"":null,""imerss.org:PMLS:6211"":null,""imerss.org:PMLS:6303"":null,""imerss.org:PMLS:6665"":null,""imerss.org:PMLS:6765"":null,""imerss.org:PMLS:6874"":null,""imerss.org:PMLS:7001"":null,""imerss.org:PMLS:7525"":null,""imerss.org:PMLS:7728"":null,""imerss.org:PMLS:7923"":null,""imerss.org:PMLS:8033"":null,""imerss.org:PMLS:8676"":null,""imerss.org:PMLS:8852"":null,""imerss.org:PMLS:9182"":null,""imerss.org:PMLS:9332"":null,""imerss.org:PMLS:9428"":null,""imerss.org:PMLS:9539"":null,""imerss.org:PMLS:9891"":null,""imerss.org:PMLS:9992"":null,""imerss.org:PMLS:10099"":null,""imerss.org:PMLS:10845"":null,""imerss.org:PMLS:11005"":null,""imerss.org:PMLS:11302"":null,""imerss.org:PMLS:11428"":null,""imerss.org:PMLS:11522"":null,""imerss.org:PMLS:11814"":null,""imerss.org:PMLS:11917"":null,""imerss.org:PMLS:12107"":null,""imerss.org:PMLS:12846"":null,""imerss.org:PMLS:12969"":null,""imerss.org:PMLS:13171"":null,""imerss.org:PMLS:13298"":null,""imerss.org:PMLS:13490"":null,""imerss.org:PMLS:13680"":null,""imerss.org:PMLS:13794"":null,""imerss.org:PMLS:13882"":null,""imerss.org:PMLS:14050"":null,""imerss.org:PMLS:14121"":null,""imerss.org:PMLS:14190"":null,""imerss.org:PMLS:14382"":null,""imerss.org:PMLS:14474"":null,""imerss.org:PMLS:14558"":null,""imerss.org:PMLS:14647"":null,""imerss.org:PMLS:14750"":null,""imerss.org:PMLS:14854"":null,""imerss.org:PMLS:14964"":null,""imerss.org:PMLS:15059"":null,""imerss.org:PMLS:15167"":null,""imerss.org:PMLS:15265"":null,""imerss.org:PMLS:15477"":null,""imerss.org:PMLS:15589"":null,""imerss.org:PMLS:15706"":null,""imerss.org:PMLS:15815"":null,""imerss.org:PMLS:15939"":null,""imerss.org:PMLS:16053"":null,""imerss.org:PMLS:16499"":null,""imerss.org:PMLS:16596"":null,""imerss.org:PMLS:17196"":null,""imerss.org:PMLS:17300"":null,""imerss.org:PMLS:17392"":null,""imerss.org:PMLS:17492"":null,""imerss.org:PMLS:17602"":null,""imerss.org:PMLS:17713"":null,""imerss.org:PMLS:17833"":null,""imerss.org:PMLS:17982"":null,""imerss.org:PMLS:18059"":null,""imerss.org:PMLS:18151"":null,""imerss.org:PMLS:18336"":null}",Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Articulina,,,Crisiidae,,,Crisia,,Andy Lamb,PMLS,,,,imerss.org:PMLS:300,1985-07-29T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:18336,2019-03-17T00:00:00.000Z,,,,,,,,
Dendrobeania lichenoides,339213,Dendrobeania lichenoides,0,accepted,"(Robertson, 1900)",8,"{""imerss.org:PMLS:299"":null,""imerss.org:PMLS:1283"":null,""imerss.org:PMLS:2890"":null,""imerss.org:PMLS:3208"":null,""imerss.org:PMLS:3917"":null,""imerss.org:PMLS:4627"":null,""imerss.org:PMLS:8032"":null,""iNat:97677174"":null}",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Dendrobeania,lichenoides,Andy Lamb,PMLS,,,,imerss.org:PMLS:299,1985-07-29T00:00:00.000Z,,,,,,iNat:97677174,2008-11-09T00:00:00.000Z,,,,,,,,
Dendrobeania murrayana,205170,Dendrobeania murrayana,0,accepted,"(Bean in Johnston, 1847)",43,"{""imerss.org:PMLS:397"":null,""imerss.org:PMLS:485"":null,""imerss.org:PMLS:1582"":null,""imerss.org:PMLS:1676"":null,""imerss.org:PMLS:1791"":null,""imerss.org:PMLS:1923"":null,""imerss.org:PMLS:2611"":null,""imerss.org:PMLS:3319"":null,""imerss.org:PMLS:4626"":null,""imerss.org:PMLS:5058"":null,""imerss.org:PMLS:5664"":null,""imerss.org:PMLS:6664"":null,""imerss.org:PMLS:6873"":null,""imerss.org:PMLS:7000"":null,""imerss.org:PMLS:7132"":null,""imerss.org:PMLS:7223"":null,""imerss.org:PMLS:7413"":null,""imerss.org:PMLS:7922"":null,""imerss.org:PMLS:8031"":null,""imerss.org:PMLS:8492"":null,""imerss.org:PMLS:9006"":null,""imerss.org:PMLS:9094"":null,""imerss.org:PMLS:9538"":null,""imerss.org:PMLS:9652"":null,""imerss.org:PMLS:10844"":null,""imerss.org:PMLS:11301"":null,""imerss.org:PMLS:12540"":null,""imerss.org:PMLS:12721"":null,""imerss.org:PMLS:12845"":null,""imerss.org:PMLS:12968"":null,""imerss.org:PMLS:13170"":null,""imerss.org:PMLS:13408"":null,""imerss.org:PMLS:13679"":null,""imerss.org:PMLS:13793"":null,""imerss.org:PMLS:13881"":null,""imerss.org:PMLS:14473"":null,""imerss.org:PMLS:14557"":null,""imerss.org:PMLS:15264"":null,""imerss.org:PMLS:15938"":null,""imerss.org:PMLS:16405"":null,""imerss.org:PMLS:16498"":null,""imerss.org:PMLS:17491"":null,""imerss.org:PMLS:17601"":null}",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Dendrobeania,murrayana,Andy Lamb,PMLS,,,,imerss.org:PMLS:397,1985-08-02T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:17491,2016-07-24T00:00:00.000Z,,,,,,,,
