iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:1052,,,PMLS,,1994-09-10,Mary Anne Point,Andy Lamb
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:1270,,,PMLS,,1994-10-23,Race Point,Andy Lamb
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:1419,,,PMLS,,1995-02-24,Virago Point,Charlie Gibbs
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:1510,,,PMLS,,1995-02-24,Alcala Point,Charlie Gibbs
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:1698,,,PMLS,,1995-02-25,Alcala Point,Charlie Gibbs
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:2229,,,PMLS,,1996-02-25,Baines Bay,Charlie Gibbs
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:4453,,,PMLS,,2006-12-02,Spanish Hills wall,Charlie Gibbs
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:4650,,,PMLS,,2007-08-20,Spanish Hills Store,Andy Lamb
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:5233,,,PMLS,,2007-10-21,Race Point,Andy Lamb
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:6125,,,PMLS,,2008-03-01,Race Point,Andy Lamb
