iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Beroe abyssicola,1090851,Beroe abyssicola,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:PMLS:630,,,,,1993-05-09,Spanish Hills Store,Charlie Gibbs
Beroe abyssicola,1090851,Beroe abyssicola,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:PMLS:2791,,,,,1999-05-04,Collinson Point,Andy Lamb
Beroe abyssicola,1090851,Beroe abyssicola,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:PMLS:10570,,,,,2009-04-04,Outer Dionisio Reef,Andy Lamb
Beroe abyssicola,1090851,Beroe abyssicola,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:PMLS:10832,,,,,2009-04-11,Alcala Point,Andy Lamb
Beroe abyssicola,1090851,Beroe abyssicola,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:PMLS:10997,,,,,2009-04-13,Alcala Point Reefs,Andy Lamb
Beroe abyssicola,1090851,Beroe abyssicola,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:iNat:45326898,,,,,2020-05-08,,Andrew Simon
Beroe abyssicola,1090851,Beroe abyssicola,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:iNat:57175255,,,,,2020-05-09,,Catiemac
Beroe abyssicola,1090851,Beroe abyssicola,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:iNat:69843303,,,,,2021-02-19,,
Beroe abyssicola,1090851,Beroe abyssicola,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:iNat:73718015,,,,,2021-04-11,,Andrew Simon
Beroe abyssicola,1090851,Beroe abyssicola,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:iNat:73721935,,,,,2021-04-11,,Dave Zeuss Cochrane
Beroe abyssicola,1090851,Beroe abyssicola,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:iNat:74472231,,,,,2021-04-18,,Andrew Simon
Bolinopsis microptera,1419827,Bolinopsis microptera,"(A. Agassiz, 1865)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,microptera,imerss.org:iNat:116493737,,,,,2008-05-24,,Jackson W.F. Chu
Bolinopsis microptera,1419827,Bolinopsis microptera,"(A. Agassiz, 1865)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,microptera,imerss.org:iNat:2976644,,,,,2013-10-13,,Peter
Bolinopsis microptera,1419827,Bolinopsis microptera,"(A. Agassiz, 1865)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,microptera,imerss.org:iNat:30012073,,,,,2019-05-04,,Galiano observer
Bolinopsis microptera,1419827,Bolinopsis microptera,"(A. Agassiz, 1865)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,microptera,imerss.org:iNat:73718027,,,,,2021-04-11,,Andrew Simon
Bolinopsis microptera,1419827,Bolinopsis microptera,"(A. Agassiz, 1865)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,microptera,imerss.org:iNat:74472285,,,,,2021-04-18,,Andrew Simon
Bolinopsis microptera,1419827,Bolinopsis microptera,"(A. Agassiz, 1865)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,microptera,imerss.org:iNat:100653654,,,,,2021-11-06,,Andrew Simon
