iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Amphiodia periercta,957349,Amphiodia periercta,"H.L. Clark, 1911",Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,,Amphiuroidea,Amphiuridae,,,Amphiodia,periercta,f372af47-2954-4e43-a92c-a7d6d882e1f2,,,RBCM,975-00224-007,1975-06-17,Galiano Island; Montague Harbour: north west side of Grey Peninsula,Philip Lambert
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:45,,,PMLS,,1969-02-21,Retreat Cove,Andy Lamb
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:174,,,PMLS,,1973-09-20,Alcala Point,Andy Lamb
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:213,,,PMLS,,1973-09-21,Spanish Hills Store,Andy Lamb
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:332,,,PMLS,,1985-07-29,Virago Point,Andy Lamb
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:442,,,PMLS,,1985-08-02,"Skipjack Island, outer face",Andy Lamb
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:532,,,PMLS,,1985-12-07,Alcala Point,Andy Lamb
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:595,,,PMLS,,1985-12-07,Spanish Hills Store,Andy Lamb
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,0689aa2e-d9e9-4b2f-baa1-5eb37312347a,,,RBCM,986-00191-032,1986-04-08,Active Pass; Galiano Island; Mayne Island: between Galiano and Mayne Island,
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:667,,,PMLS,,1993-05-09,Spanish Hills Store,Charlie Gibbs
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:749,,,PMLS,,1993-08-16,Mathews Point,Andy Lamb
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:822,,,PMLS,,1994-02-26,Alcala Point,Charlie Gibbs
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:900,,,PMLS,,1994-02-26,Race Point,Charlie Gibbs
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:969,,,PMLS,,1994-02-27,Spanish Hills Store,Charlie Gibbs
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:1064,,,PMLS,,1994-09-10,Mary Anne Point,Andy Lamb
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:1156,,,PMLS,,1994-10-07,Lion Islet,Andy Lamb
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:1302,,,PMLS,,1994-10-23,Race Point,Andy Lamb
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:1351,,,PMLS,,1995-02-23,Cliff House,Charlie Gibbs
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:1434,,,PMLS,,1995-02-24,Virago Point,Charlie Gibbs
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:1529,,,PMLS,,1995-02-24,Alcala Point,Charlie Gibbs
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,imerss.org:PMLS:1629,,,PMLS,,1995-02-25,Spanish Hills Store,Charlie Gibbs
