iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Acarnus erithacus,63669,Acarnus erithacus,"Laubenfels, 1927",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Acarnidae,,,Acarnus,erithacus,imerss.org:PMLS:7812,,,,,2008-08-29,Race Point,Andy Lamb
Acarnus erithacus,63669,Acarnus erithacus,"Laubenfels, 1927",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Acarnidae,,,Acarnus,erithacus,imerss.org:PMLS:14172,,,,,2011-02-26,wreck of the Point Grey,Andy Lamb
Acarnus erithacus,63669,Acarnus erithacus,"Laubenfels, 1927",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Acarnidae,,,Acarnus,erithacus,imerss.org:PMLS:15458,,,,,2012-10-06,Virago Channel,Andy Lamb
Acarnus erithacus,63669,Acarnus erithacus,"Laubenfels, 1927",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Acarnidae,,,Acarnus,erithacus,imerss.org:PMLS:15566,,,,,2012-10-06,Spotlight Cove,Andy Lamb
Acarnus erithacus,63669,Acarnus erithacus,"Laubenfels, 1927",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Acarnidae,,,Acarnus,erithacus,imerss.org:PMLS:16665,,,,,2015-01-01,Virago Point,Andy Lamb
Amphilectus digitatus,459874,Amphilectus digitatus,"(Miklucho-Maclay, 1870)",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Esperiopsidae,,,Amphilectus,digitatus,imerss.org:PMLS:230,,,,,1981-05-31,Collinson Reef,Andy Lamb
Amphilectus digitatus,459874,Amphilectus digitatus,"(Miklucho-Maclay, 1870)",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Esperiopsidae,,,Amphilectus,digitatus,imerss.org:PMLS:695,,,,,1993-08-16,Mathews Point,Andy Lamb
Amphilectus digitatus,459874,Amphilectus digitatus,"(Miklucho-Maclay, 1870)",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Esperiopsidae,,,Amphilectus,digitatus,imerss.org:PMLS:1002,,,,,1994-09-10,Mary Anne Point,Andy Lamb
Amphilectus digitatus,459874,Amphilectus digitatus,"(Miklucho-Maclay, 1870)",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Esperiopsidae,,,Amphilectus,digitatus,imerss.org:PMLS:2854,,,,,1999-07-31,Mathews Point,Charlie Gibbs
Amphilectus digitatus,459874,Amphilectus digitatus,"(Miklucho-Maclay, 1870)",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Esperiopsidae,,,Amphilectus,digitatus,imerss.org:PMLS:6727,,,,,2008-04-27,Mathews Point,Andy Lamb
Amphilectus digitatus,459874,Amphilectus digitatus,"(Miklucho-Maclay, 1870)",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Esperiopsidae,,,Amphilectus,digitatus,imerss.org:PMLS:8830,,,,,2008-11-12,Mathews Point,Andy Lamb
Antho karykina,345142,Antho (Plocamia) karykina,"(Laubenfels, 1927)",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Microcionidae,Ophlitaspongiinae,,Antho,karykina,imerss.org:PMLS:370,,,,,1985-08-02,"Skipjack Island, outer face",Andy Lamb
Antho karykina,345142,Antho (Plocamia) karykina,"(Laubenfels, 1927)",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Microcionidae,Ophlitaspongiinae,,Antho,karykina,imerss.org:PMLS:698,,,,,1993-08-16,Mathews Point,Andy Lamb
Antho karykina,345142,Antho (Plocamia) karykina,"(Laubenfels, 1927)",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Microcionidae,Ophlitaspongiinae,,Antho,karykina,imerss.org:PMLS:15148,,,,,2012-08-09,Boscowitz Rock,Andy Lamb
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:8459011,,,,,2007-10-23,,Jackson W.F. Chu
