"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:630","Charlie Gibbs",NA,"","1993-05-09",1993,5,9,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,71,NA,"present","","",NA,"","native","unlisted","",NA,"","","Beroe abyssicola","","",347
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:2791","Andy Lamb",NA,"","1999-05-04",1999,5,4,"HumanObservation","Collinson Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,75,NA,"present","","Count: some",NA,"","native","unlisted","",NA,"","","Beroe abyssicola","","",42
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:10570","Andy Lamb",NA,"","2009-04-04",2009,4,4,"HumanObservation","Outer Dionisio Reef",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,79,NA,"present","","Count: very many",NA,"","native","unlisted","",NA,"","","Beroe abyssicola","","",417
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:10832","Andy Lamb",NA,"","2009-04-11",2009,4,11,"HumanObservation","Alcala Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,60,NA,"present","","Count: very many",NA,"","native","unlisted","",NA,"","","Beroe abyssicola","","",392
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:10997","Andy Lamb",NA,"","2009-04-13",2009,4,13,"HumanObservation","Alcala Point Reefs",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,71,NA,"present","","Count: very many",NA,"","native","unlisted","",NA,"","","Beroe abyssicola","","",392
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","","","","iNaturalist","iNat:69843303","",NA,"","2021-02-19",2021,2,19,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",44
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","","","","iNaturalist","iNat:128527370","",NA,"","2019-05-05",2019,5,5,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",61,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",149
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","","","","iNaturalist","iNat:45326898","",NA,"","2020-05-08",2020,5,8,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",238
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","","","","iNaturalist","iNat:57175255","",NA,"","2020-05-09",2020,5,9,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",16,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",127
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","","","","iNaturalist","iNat:73718011","",NA,"","2021-04-11",2021,4,11,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",28,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",325
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","","","","iNaturalist","iNat:73718015","",NA,"","2021-04-11",2021,4,11,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",28,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",325
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","","","","iNaturalist","iNat:73721929","",NA,"","2021-04-11",2021,4,11,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",325
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","","","","iNaturalist","iNat:73721935","",NA,"","2021-04-11",2021,4,11,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",325
"Beroe abyssicola","Mortensen, 1927",1090851,"Animalia","Ctenophora","","Nuda","Beroida","",NA,"","Beroidae","Beroe",NA,"abyssicola","","species","","","","iNaturalist","iNat:74014924","",NA,"","2021-04-14",2021,4,14,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",209,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",129
