Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Agelenopsis sp.,,,grass spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,Agelenopsis,,,,,,,,new 2016,observed,,,,,,2016-08-15,Andrew Simon,iNat:3903554,,82116,ART
Eratigena agrestis,"(Walckenaer, 1802)",,hobo spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,Eratigena,agrestis,,,,exotic,unlisted,,new 2016,observed,,,,,,2016-08-15,Andrew Simon,iNat:3897194,,454859,ART
Eratigena duellica,"Simon, 1875",,giant house spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,Eratigena,duellica,,,,exotic,unlisted,,confirmed,observed,2002-12-25,Robb Bennett,RBCM,ENT006-005799,,2014-06-21,Andrew Simon,iNat:748881,,750907,ART
Tegenaria domestica,"(Clerck, 1757)",,barn funnel weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,Tegenaria,domestica,,,,exotic,unlisted,,reported,unobserved,2002-12-25,Robb Bennett,RBCM,ENT006-005799,,,,,,153507,ART
Callobius pictus,"(Simon, 1884)",,truncated laceweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,,Callobius,pictus,,,,native,S5 (2018),,new 2016,observed,,,,,,2016-08-14,Andrew Simon,iNat:3895260,,199277,ART
Callobius severus,"(Simon, 1884)",,west coast laceweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,,Callobius,severus,,,,native,S5 (2018),,confirmed,observed,1984-04-20,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0014,,2016-09-11,Andrew Simon,iNat:4092193,,49549,ART
Antrodiaetus pacificus,"(Simon, 1884)",,common foldingdoor spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Mygalomorphae,Atypoidea,Antrodiaetidae,,,Antrodiaetus,pacificus,,,,native,S5 (2018),,new 2017,observed,,,,,,2017-09-04,Andrew Simon,iNat:8173993,,199276,ART
Anyphaena aperta,"(Banks, 1921)",,west coast ghost spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Anyphaenidae,,,Anyphaena,aperta,,,,native,S4 (2018),,confirmed,observed,1983-04-30,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0748,,2017-05-31,Andrew Simon,iNat:8172198,,213821,ART
Araneus diadematus,"Clerck, 1758",,cross orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,Araneus,diadematus,,,,exotic,unlisted,,new 2015,observed,,,,,,2012-09-13,Rolando Lampitoc,iNat:4021751,,52628,ART
Araneus saevus,,,fierce orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,Araneus,saevus,,,,native,S5 (2018),,new 2018,observed,,,,,,2018-10-30,Christian Adler,iNat:17976527,,122290,ART
Araneus trifolium,"(Hentz, 1847)",,shamrock orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,Araneus,trifolium,,,,native,S5 (2018),,new 2018,observed,,,,,,2018-07-13,Marty Moser,iNat:15144584,,119122,ART
Araniella displicata,"(Hentz, 1847)",,six-spotted orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,Araniella,displicata,,,,native,S5 (2018),,new 2018,observed,,,,,,2018-05-25,Andrew Simon,iNat:12820090,,81984,ART
Cyclosa conica,,,conical trashline orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,Cyclosa,conica,,,,native,S5 (2018),,new 2018,observed,,,,,,2018-05-23,Andrew Simon,iNat:12762560,,205888,ART
Cyclosa sp.,,,trashline orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,Cyclosa,,,,,,,,new 2019,observed,,,,,,2018-05-23,Andrew Simon,iNat:12762560,,127360,ART
Larinioides cornutus,"(Clerck, 1757)",,furrow orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,Larinioides,cornutus,,,,native,S5 (2018),,new 2017,observed,,,,,,2017-04-15,Andrew Simon,iNat:5784843,,126513,ART
Larinioides sclopetarius,,,grey cross spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,Larinioides,sclopetarius,,,,exotic,unlisted,,new 2017,observed,,,,,,2017-04-15,Andrew Simon,iNat:5784843,,538959,ART
Neoscona crucifera,"(Lucas, 1839)",,spotted orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,Neoscona,crucifera,,,,,,,new 2018,observed,,,,,,2018-10-22,Kevin Toomer,iNat:17752494,,85034,ART
Castianeira longipalpus,"(Hentz, 1847)",,common ant-mimic,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,Castianeirinae,,Castianeira,longipalpus,,,,native,S5 (2018),,new 2016,observed,,,,,,2016-09-01,Andrew Simon,iNat:4017046,,70300,ART
Castianeira walsinghami,"(O. P.-Cambridge, 1874)",,Walsingham ant-mimic,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,,,Castianeira,walsinghami,,,,native,S5 (2018),,new 2018,observed,,,,,,2018-07-30,Tyson Ehlers,iNat:15113061,,216170,ART
Cybaeota shastae,"Chamberlin & Ivie, 1937",,western cryptic woodland spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,Cybaeota,shastae,,,,native,S5 (2018),,reported,unobserved,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,217950,ART
Cybaeus morosus,"Simon, 1886",,northwest woodland spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,Cybaeus,morosus,,,,native,S5 (2018),,reported,unobserved,1991-09-02,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0281,,,,,,217953,ART
Cybaeus signifer,"Simon, 1886",,night-hunting woodland spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,Cybaeus,signifer,,,,native,S5 (2018),,new 2016,observed,,,,,,2016-07-26,Andrew Simon,iNat:3766333,,52949,ART
Ethobuella tuonops,"Chamberlin & Ivie, 1937",,big-eyed forest litter spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,Ethobuella,tuonops,,,,native,S4S5 (2018),,reported,unobserved,2012-05-09,Robb Bennett,RBCM,ENT012-017152,,,,,,219592,ART
Dysdera crocata,"C. L. Koch, 1838",,slater slayer,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dysderoidea,Dysderidae,,,Dysdera,crocata,,,,exotic,unlisted,,confirmed,observed,2016-09-04,RBCM BC Spider Database,RBCM,,,2016-01-01,Galiano observer,iNat:24352861,,68912,ART
Callilepis pluto,,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Gnaphosoidea,Gnaphosidae,Gnaphosinae,,Callilepis,pluto,,,,,,,new 2023,observed,,,,,,2023-06-04,Andrew Simon,iNat:165739143,,215753,ART
Gnaphosa sp.,,,gnaphosid spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Gnaphosoidea,Gnaphosidae,,,Gnaphosa,,,,,,,,new 2018,observed,,,,,,2018-10-20,Andrew Simon,iNat:17693171,,153645,ART
Sergiolus columbianus,"(Emerton, 1917)",,western patterened ant-mimic,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Gnaphosoidea,Gnaphosidae,,,Sergiolus,columbianus,,,,native,S5 (2018),,new 2014,observed,,,,,,2014-06-09,Andrew Simon,iNat:728018,,230819,ART
Cicurina tersa,"Simon, 1886",,western small-eared littleweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Hahniidae,,,Cicurina,tersa,,,,native,S5 (2018),,reported,unobserved,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,217002,ART
Ceratinops inflatus,"(Emerton, 1923)",,high-headed rugose money spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Ceratinops,inflatus,,,,native,S4S5 (2018),,reported,unobserved,2012-05-09,Robb Bennett,RBCM,ENT012-017151,,,,,,216458,ART
Drapetisca alteranda,"Chamberlin, 1909",,northern long-toothed sheetweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Drapetisca,alteranda,,,,native,SU (2018),,new 2018,observed,,,,,,2017-11-20,Andrew Simon,iNat:8906217,,218702,ART
Microlinyphia sp.,,,dwarf weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Microlinyphia,,,,,,,,new 2016,observed,,,,,,2016-06-23,Andrew Simon,iNat:3512983,,172535,ART
