Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Date observed,Description,Place name,Coordinates,Common name,Observer name,iNaturalist taxon name,iNaturalist taxon ID,Observation count
Halichondria panicea,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Suberitida,,,Halichondriidae,,,Halichondria,Halichondria panicea,1968-08-02T15:00:00,collected,Baines Bay,"[[49.005156,-123.585939],[48.87333,-123.31167]]",yellow-green encrusting sponge,Andy Lamb,Halichondria panicea,186854,2
Metridium senile,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Metridiidae,,,Metridium,Metridium senile,1968-08-02T15:00:00,collected,Baines Bay,"[[49.005156,-123.585939],[48.939813,-123.501514],[48.87333,-123.31167],[48.89833,-123.33333],[49.002312,-123.590188],[48.86167,-123.34333],[49.00942,-123.58796],[48.84,-123.36833],[48.85833,-123.38833],[48.86123,-123.32878],[49.00942,-123.58796],[49.01283,-123.584794],[49.01283,-123.584794],[49.00667,-123.59167],[48.99,-123.58],[49.01167,-123.59333],[49.00942,-123.58796],[49.01167,-123.59333],[48.99,-123.58],[49.005156,-123.585939],[48.99,-123.58],[48.898082,-123.331018],[48.955,-123.54],[49.002312,-123.590188],[48.94167,-123.51333],[48.84,-123.36833]]",short plumose anemone,Andy Lamb,Metridium senile,49071,26
Obelia spp.,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,,Obelia,,1968-08-02T15:00:00,,Baines Bay,"[[49.005156,-123.585939],[49.002312,-123.590188],[48.84,-123.36833],[48.89833,-123.33333],[49.01333,-123.58333],[49.015,-123.57833],[48.99,-123.58],[48.99,-123.58],[48.92833,-123.50483],[48.99,-123.58],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[48.99,-123.58],[49.01283,-123.584794],[48.995018,-123.584696],[49.002312,-123.590188],[48.938826,-123.501192],[49.00942,-123.58796],[48.995018,-123.584696],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[49.00942,-123.58796],[48.97,-123.56167],[48.84,-123.36833]]",wine-glass hydroids,Andy Lamb,Obelia,49536,27
Mytilus trossulus,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Mytilida,,Mytiloidea,Mytilidae,Mytilinae,,Mytilus,Mytilus trossulus,1968-08-02T15:00:00,,Baines Bay,"[[49.005156,-123.585939],[49.01283,-123.584794],[49.00942,-123.58796],[49.01283,-123.584794],[49.01283,-123.584794],[49.01283,-123.584794],[49.01283,-123.584794],[49.01283,-123.584794],[49.01283,-123.584794],[49.01667,-123.57167],[49.005,-123.59],[49.01167,-123.59333],[49.010729,-123.586583],[48.97983,-123.568823],[48.995018,-123.584696],[49.015,-123.57833],[48.995018,-123.584696],[48.995018,-123.584696],[48.99,-123.58],[49.002312,-123.590188],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[48.99,-123.58],[48.86123,-123.32878]]",Pacific blue mussel,Andy Lamb,Mytilus trossulus,130239,25
Montereina nobilis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Montereina,Montereina nobilis,1968-08-02T15:00:00,Archidoris montereyensis?  collected,Baines Bay,"[[49.005156,-123.585939],[48.939813,-123.501514],[48.87333,-123.31167],[49.002312,-123.590188],[49.00942,-123.58796],[48.891731,-123.329959],[48.84,-123.36833],[48.85833,-123.38833],[48.86123,-123.32878],[49.01283,-123.584794],[48.86,-123.35],[48.84,-123.36833],[48.845,-123.37833],[49.00942,-123.58796],[48.93447,-123.51599],[49.015,-123.57833],[49.01283,-123.584794],[49.015,-123.57833],[48.995018,-123.584696],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.941398,-123.448435],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[49.015,-123.57833],[48.99,-123.58],[48.86123,-123.32878],[48.92833,-123.50483],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[49.015,-123.57833],[48.86123,-123.32878],[49.015,-123.57833],[49.015,-123.57833],[49.01667,-123.57167],[49.01667,-123.57167],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[49.01667,-123.57167],[48.99,-123.58],[49.002312,-123.590188],[49.005,-123.59],[49.015,-123.57833],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[49.002312,-123.590188],[48.99,-123.58],[49.015,-123.57833],[49.015,-123.57833],[48.99,-123.58],[49.01667,-123.57167],[49.015,-123.57833],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.995018,-123.584696],[48.99,-123.58],[49.01283,-123.584794],[49.005,-123.59],[48.99,-123.58],[49.015,-123.57833],[49.015,-123.57833],[49.01167,-123.59333],[49.015,-123.57833],[49.01283,-123.584794],[48.995018,-123.584696],[49.00942,-123.58796],[49.007465,-123.587784],[48.995018,-123.584696],[49.002312,-123.590188],[48.939813,-123.501514],[49.010729,-123.586583],[48.97983,-123.568823],[48.921395,-123.458397],[48.97983,-123.568823],[48.92938,-123.47865],[48.938826,-123.501192],[49.007465,-123.587784],[49.00942,-123.58796],[48.995018,-123.584696],[48.99,-123.58],[49.006365,-123.591401],[48.95115,-123.53298],[49.015,-123.57833],[49.01283,-123.584794],[48.938826,-123.501192],[49.00942,-123.58796],[48.995018,-123.584696],[48.995018,-123.584696],[49.01283,-123.584794],[48.99,-123.58],[48.995018,-123.584696],[48.995018,-123.584696],[48.99,-123.58],[49.015,-123.57833],[49.00942,-123.58796],[48.99,-123.58],[48.939813,-123.501514],[49.002312,-123.590188],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[49.005156,-123.585939],[49.002312,-123.590188],[48.86123,-123.32878],[48.84333,-123.36667],[48.84,-123.36833]]",noble sea lemon,Andy Lamb,Montereina nobilis,541662,121
Doris montereyensis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,Doris,Doris montereyensis,1968-08-02T15:00:00,Anisodoris nobilis?  collected,Baines Bay,"[[49.005156,-123.585939],[48.939813,-123.501514],[48.87333,-123.31167],[49.002312,-123.590188],[49.00942,-123.58796],[49.002312,-123.590188],[48.99,-123.58],[48.87333,-123.305],[48.86123,-123.32878],[49.00942,-123.58796],[49.01333,-123.58333],[49.01283,-123.584794],[49.015,-123.57833],[48.99,-123.58],[48.99,-123.58],[49.01283,-123.584794],[48.92938,-123.47865],[48.99,-123.58],[49.01283,-123.584794],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[49.01333,-123.575],[48.86123,-123.32878],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[49.002312,-123.590188],[49.005,-123.59],[48.99,-123.58],[48.99,-123.58],[49.005,-123.59],[48.995018,-123.584696],[49.015,-123.57833],[48.995018,-123.584696],[49.002312,-123.590188],[48.97983,-123.568823],[48.995018,-123.584696],[48.924841,-123.4678],[48.995018,-123.584696],[48.99,-123.58],[49.01283,-123.584794],[48.938826,-123.501192],[49.00942,-123.58796],[48.995018,-123.584696],[48.906568,-123.460574],[48.84,-123.36833],[48.84,-123.36833],[48.99,-123.58],[49.00942,-123.58796],[49.002312,-123.590188],[48.99,-123.58],[49.01167,-123.59333],[49.00942,-123.58796],[49.01167,-123.59333],[48.99,-123.58],[48.99,-123.58],[48.955,-123.54],[48.86123,-123.32878],[48.995018,-123.584696],[49.015,-123.57833]]",Monterey sea lemon,Andy Lamb,Doris montereyensis,47469,65
Pagurus beringanus,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus beringanus,1968-08-02T15:00:00,,Baines Bay,"[[49.005156,-123.585939],[49.00942,-123.58796],[49.002312,-123.590188],[48.99,-123.58],[48.87333,-123.305],[48.84,-123.36833],[48.86123,-123.32878],[48.89833,-123.33333],[49.01283,-123.584794],[48.86,-123.35],[48.84,-123.36833],[48.94167,-123.51333],[48.845,-123.37833],[49.00942,-123.58796],[49.00942,-123.58796],[48.99,-123.58],[49.01333,-123.58333],[48.99,-123.58],[49.015,-123.57833],[49.01283,-123.584794],[49.015,-123.57833],[48.995018,-123.584696],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.92938,-123.47865],[48.99,-123.58],[49.015,-123.57833],[48.941398,-123.448435],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[49.01283,-123.584794],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[49.00667,-123.59167],[48.86123,-123.32878],[48.92833,-123.50483],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[49.015,-123.57833],[49.01283,-123.584794],[49.01333,-123.575],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[48.86123,-123.32878],[48.86123,-123.32878],[48.99,-123.58],[49.015,-123.57833],[48.995018,-123.584696],[48.9498,-123.52996],[49.015,-123.57833],[48.99,-123.58],[49.01667,-123.57167],[49.01667,-123.57167],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[49.01283,-123.584794],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[49.01667,-123.57167],[48.99,-123.58],[49.002312,-123.590188],[49.005,-123.59],[49.015,-123.57833],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[49.015,-123.57833],[48.99,-123.58],[49.01667,-123.57167],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[48.99,-123.58],[49.01283,-123.584794],[48.995018,-123.584696],[48.99,-123.58],[49.01283,-123.584794],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[49.005,-123.59],[49.01667,-123.57167],[48.99,-123.58],[48.995018,-123.584696],[49.015,-123.57833],[49.01167,-123.59333],[49.015,-123.57833],[49.01283,-123.584794],[48.995018,-123.584696],[49.015,-123.57833],[48.995018,-123.584696],[49.00942,-123.58796],[49.007465,-123.587784],[48.995018,-123.584696],[49.002312,-123.590188],[48.939813,-123.501514],[48.97983,-123.568823],[48.921395,-123.458397],[48.97983,-123.568823],[48.92938,-123.47865],[48.995018,-123.584696],[48.938826,-123.501192],[48.924841,-123.4678],[49.007465,-123.587784],[49.01283,-123.584794],[48.938826,-123.501192],[49.00942,-123.58796],[48.995018,-123.584696],[48.995018,-123.584696],[49.01283,-123.584794],[48.995018,-123.584696],[48.99,-123.58],[49.015,-123.57833],[49.00942,-123.58796],[49.00942,-123.58796],[48.99,-123.58],[48.92833,-123.50483],[48.99,-123.58],[49.00942,-123.58796],[49.002312,-123.590188],[48.99,-123.58],[49.002312,-123.590188],[48.99,-123.58],[49.01167,-123.59333],[49.00942,-123.58796],[49.01167,-123.59333],[48.99,-123.58],[49.005156,-123.585939],[48.99,-123.58],[48.898082,-123.331018],[48.955,-123.54],[49.002312,-123.590188],[48.94167,-123.51333],[48.86123,-123.32878],[48.84333,-123.36667],[48.995018,-123.584696],[49.015,-123.57833],[48.84,-123.36833],[48.84,-123.36833]]",Bering hermit,Andy Lamb,Pagurus beringanus,362749,165
Evasterias troschelii,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Evasterias,Evasterias troschelii,1968-08-02T15:00:00,,Baines Bay,"[[49.005156,-123.585939],[48.939813,-123.501514],[48.87333,-123.31167],[48.86167,-123.34333],[49.00942,-123.58796],[48.891731,-123.329959],[49.002312,-123.590188],[48.99,-123.58],[48.87333,-123.305],[48.84,-123.36833],[48.85833,-123.38833],[48.86123,-123.32878],[48.89833,-123.33333],[49.01283,-123.584794],[48.86,-123.35],[48.84,-123.36833],[48.94167,-123.51333],[48.845,-123.37833],[49.00942,-123.58796],[48.93447,-123.51599],[48.99,-123.58],[49.01333,-123.58333],[48.99,-123.58],[49.015,-123.57833],[49.01283,-123.584794],[48.995018,-123.584696],[48.99,-123.58],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[49.015,-123.57833],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[49.00667,-123.59167],[48.86123,-123.32878],[48.99,-123.58],[48.99,-123.58],[48.93447,-123.51599],[48.99,-123.58],[48.99,-123.58],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[49.01283,-123.584794],[49.01333,-123.575],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[48.86123,-123.32878],[48.86123,-123.32878],[48.99,-123.58],[49.015,-123.57833],[48.995018,-123.584696],[48.9498,-123.52996],[49.015,-123.57833],[48.99,-123.58],[49.01667,-123.57167],[49.01667,-123.57167],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[49.015,-123.57833],[49.01333,-123.575],[48.99,-123.58],[49.002312,-123.590188],[49.005,-123.59],[49.01283,-123.584794],[48.99,-123.58],[49.002312,-123.590188],[48.99,-123.58],[49.01283,-123.584794],[49.015,-123.57833],[48.99,-123.58],[49.01667,-123.57167],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.995018,-123.584696],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[49.015,-123.57833],[48.99,-123.58],[49.005,-123.59],[49.01667,-123.57167],[48.99,-123.58],[49.015,-123.57833],[49.01167,-123.59333],[49.01283,-123.584794],[48.995018,-123.584696],[49.015,-123.57833],[48.995018,-123.584696],[49.00942,-123.58796],[48.995018,-123.584696],[49.002312,-123.590188],[48.939813,-123.501514],[49.010729,-123.586583],[48.97983,-123.568823],[48.921395,-123.458397],[48.97983,-123.568823],[48.92938,-123.47865],[48.995018,-123.584696],[49.015,-123.57833],[48.938826,-123.501192],[48.95115,-123.53298],[48.938826,-123.501192],[48.924841,-123.4678],[49.007465,-123.587784],[49.00942,-123.58796],[48.995018,-123.584696],[48.99,-123.58],[49.006365,-123.591401],[48.95115,-123.53298],[49.01283,-123.584794],[48.938826,-123.501192],[48.995018,-123.584696],[48.995018,-123.584696],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[48.995018,-123.584696],[48.995018,-123.584696],[48.99,-123.58],[49.015,-123.57833],[49.00942,-123.58796],[49.00942,-123.58796],[48.99,-123.58],[48.906568,-123.460574],[48.84,-123.36833],[48.939813,-123.501514],[48.92833,-123.50483],[48.906568,-123.460574],[48.84,-123.36833],[48.99,-123.58],[49.002312,-123.590188],[48.99,-123.58],[48.97,-123.56167],[49.00942,-123.58796],[49.002312,-123.590188],[48.99,-123.58],[49.002312,-123.590188],[48.99,-123.58],[49.01167,-123.59333],[49.00942,-123.58796],[49.01167,-123.59333],[48.99,-123.58],[49.005156,-123.585939],[48.99,-123.58],[48.898082,-123.331018],[48.955,-123.54],[49.002312,-123.590188],[48.94167,-123.51333],[48.86123,-123.32878],[48.84333,-123.36667],[48.995018,-123.584696],[49.015,-123.57833],[48.84,-123.36833],[48.84,-123.36833]]",mottled star,Andy Lamb,Evasterias troschelii,84265,175
Rhinogobiops nicholsii,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Gobiidae,Gobiinae,,Rhinogobiops,Rhinogobiops nicholsii,1968-08-02T15:00:00,,Baines Bay,"[[49.005156,-123.585939],[48.939813,-123.501514],[49.002312,-123.590188],[48.99,-123.58],[49.00942,-123.58796],[49.002312,-123.590188],[48.99,-123.58],[48.87333,-123.305],[48.84,-123.36833],[48.85833,-123.38833],[48.89833,-123.33333],[49.01283,-123.584794],[48.86,-123.35],[48.84,-123.36833],[48.94167,-123.51333],[48.845,-123.37833],[49.00942,-123.58796],[49.00942,-123.58796],[48.93447,-123.51599],[48.99,-123.58],[49.01333,-123.58333],[48.99,-123.58],[49.015,-123.57833],[49.01283,-123.584794],[49.015,-123.57833],[48.995018,-123.584696],[48.99,-123.58],[49.015,-123.57833],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.92938,-123.47865],[48.99,-123.58],[49.015,-123.57833],[48.941398,-123.448435],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.00667,-123.59167],[48.92833,-123.50483],[48.99,-123.58],[48.99,-123.58],[48.93447,-123.51599],[49.015,-123.57833],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[49.015,-123.57833],[49.01283,-123.584794],[49.01333,-123.575],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[48.86123,-123.32878],[48.99,-123.58],[49.015,-123.57833],[48.995018,-123.584696],[48.9498,-123.52996],[49.015,-123.57833],[48.99,-123.58],[49.01667,-123.57167],[49.01667,-123.57167],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[49.01283,-123.584794],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[49.01333,-123.575],[49.01667,-123.57167],[48.99,-123.58],[49.002312,-123.590188],[49.005,-123.59],[49.015,-123.57833],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[49.002312,-123.590188],[48.99,-123.58],[49.015,-123.57833],[49.01283,-123.584794],[49.015,-123.57833],[48.99,-123.58],[49.01667,-123.57167],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.995018,-123.584696],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[49.005,-123.59],[49.01667,-123.57167],[48.99,-123.58],[49.015,-123.57833],[48.995018,-123.584696],[49.015,-123.57833],[49.015,-123.57833],[49.01283,-123.584794],[48.995018,-123.584696],[49.015,-123.57833],[48.995018,-123.584696],[49.015,-123.57833],[49.00942,-123.58796],[49.007465,-123.587784],[48.995018,-123.584696],[49.002312,-123.590188],[48.939813,-123.501514],[49.010729,-123.586583],[48.97983,-123.568823],[48.921395,-123.458397],[48.97983,-123.568823],[48.92938,-123.47865],[48.995018,-123.584696],[49.015,-123.57833],[48.938826,-123.501192],[48.95115,-123.53298],[48.938826,-123.501192],[48.924841,-123.4678],[49.007465,-123.587784],[49.00942,-123.58796],[48.995018,-123.584696],[48.99,-123.58],[49.006365,-123.591401],[48.95115,-123.53298],[49.015,-123.57833],[49.01283,-123.584794],[48.938826,-123.501192],[49.00942,-123.58796],[48.995018,-123.584696],[48.995018,-123.584696],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[48.995018,-123.584696],[48.995018,-123.584696],[48.99,-123.58],[49.015,-123.57833],[49.00942,-123.58796],[49.00942,-123.58796],[48.99,-123.58],[48.906568,-123.460574],[48.84,-123.36833],[48.938826,-123.501192],[48.92833,-123.50483],[48.906568,-123.460574],[48.84,-123.36833],[48.92833,-123.50483],[48.939813,-123.501514],[48.92833,-123.50483],[48.906568,-123.460574],[48.84,-123.36833],[48.99,-123.58],[49.002312,-123.590188],[49.01283,-123.584794],[48.99,-123.58],[49.00942,-123.58796],[49.002312,-123.590188],[48.99,-123.58],[49.002312,-123.590188],[48.99,-123.58],[49.00942,-123.58796],[49.01167,-123.59333],[48.99,-123.58],[49.005156,-123.585939],[48.99,-123.58],[48.898082,-123.331018],[48.955,-123.54],[49.002312,-123.590188],[48.94167,-123.51333],[48.84333,-123.36667],[48.995018,-123.584696],[49.015,-123.57833]]",blackeye goby,Andy Lamb,Rhinogobiops nicholsii,132521,197
Sebastes caurinus,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes caurinus,1968-08-02T15:00:00,,Baines Bay,"[[49.005156,-123.585939],[48.939813,-123.501514],[48.89833,-123.33333],[49.002312,-123.590188],[48.99,-123.58],[48.86167,-123.34333],[49.00942,-123.58796],[48.891731,-123.329959],[49.002312,-123.590188],[48.99,-123.58],[48.87333,-123.305],[48.84,-123.36833],[48.85833,-123.38833],[48.86123,-123.32878],[48.89833,-123.33333],[49.01283,-123.584794],[48.86,-123.35],[48.84,-123.36833],[48.88333,-123.305],[48.94167,-123.51333],[48.845,-123.37833],[49.00942,-123.58796],[49.00942,-123.58796],[48.93447,-123.51599],[48.99,-123.58],[49.01333,-123.58333],[48.99,-123.58],[49.015,-123.57833],[49.01283,-123.584794],[49.015,-123.57833],[48.995018,-123.584696],[48.99,-123.58],[49.015,-123.57833],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.92938,-123.47865],[48.99,-123.58],[49.015,-123.57833],[48.941398,-123.448435],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[49.01283,-123.584794],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[49.00667,-123.59167],[48.86123,-123.32878],[48.92833,-123.50483],[48.99,-123.58],[48.99,-123.58],[48.93447,-123.51599],[49.015,-123.57833],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[49.015,-123.57833],[49.01283,-123.584794],[49.01333,-123.575],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[48.86123,-123.32878],[48.86123,-123.32878],[48.99,-123.58],[49.015,-123.57833],[48.995018,-123.584696],[48.9498,-123.52996],[49.015,-123.57833],[48.99,-123.58],[49.01667,-123.57167],[49.01667,-123.57167],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[49.01333,-123.575],[49.01667,-123.57167],[48.99,-123.58],[49.002312,-123.590188],[49.005,-123.59],[49.015,-123.57833],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[49.015,-123.57833],[49.002312,-123.590188],[48.99,-123.58],[49.015,-123.57833],[49.01283,-123.584794],[49.015,-123.57833],[48.99,-123.58],[49.01667,-123.57167],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[48.995018,-123.584696],[49.015,-123.57833],[48.99,-123.58],[49.01283,-123.584794],[49.015,-123.57833],[48.99,-123.58],[49.015,-123.57833],[49.005,-123.59],[49.01667,-123.57167],[48.99,-123.58],[49.015,-123.57833],[48.995018,-123.584696],[49.015,-123.57833],[49.01167,-123.59333],[49.015,-123.57833],[49.01283,-123.584794],[48.995018,-123.584696],[49.015,-123.57833],[48.995018,-123.584696],[49.015,-123.57833],[49.00942,-123.58796],[49.007465,-123.587784],[48.995018,-123.584696],[49.002312,-123.590188],[48.939813,-123.501514],[49.010729,-123.586583],[48.97983,-123.568823],[48.921395,-123.458397],[48.97983,-123.568823],[48.92938,-123.47865],[48.995018,-123.584696],[49.015,-123.57833],[48.938826,-123.501192],[48.95115,-123.53298],[48.938826,-123.501192],[48.924841,-123.4678],[49.007465,-123.587784],[49.00942,-123.58796],[48.995018,-123.584696],[48.99,-123.58],[49.006365,-123.591401],[49.015,-123.57833],[49.01283,-123.584794],[48.938826,-123.501192],[48.995018,-123.584696],[48.995018,-123.584696],[49.01283,-123.584794],[48.99,-123.58],[48.99,-123.58],[48.995018,-123.584696],[48.995018,-123.584696],[48.99,-123.58],[49.015,-123.57833],[49.00942,-123.58796],[48.99,-123.58],[48.906568,-123.460574],[48.84,-123.36833],[48.906568,-123.460574],[48.84,-123.36833],[48.92833,-123.50483],[48.939813,-123.501514],[48.906568,-123.460574],[48.84,-123.36833],[48.99,-123.58],[49.002312,-123.590188],[49.01283,-123.584794],[48.99,-123.58],[49.00942,-123.58796],[49.002312,-123.590188],[48.99,-123.58],[49.002312,-123.590188],[48.99,-123.58],[49.01167,-123.59333],[49.00942,-123.58796],[49.01167,-123.59333],[48.99,-123.58],[49.005156,-123.585939],[48.99,-123.58],[48.898082,-123.331018],[48.955,-123.54],[49.002312,-123.590188],[48.94167,-123.51333],[48.86123,-123.32878],[48.84333,-123.36667],[48.995018,-123.584696],[49.015,-123.57833],[48.84,-123.36833]]",copper rockfish,Andy Lamb,Sebastes caurinus,68597,204
