Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Documented,Documenter,iNaturalist Link,Notes,ID,Stats Code
Arthonia polygramma,Nyl.,,comma lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,,Arthonia,native,unlisted,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,214289,LIC
Arthothelium spectabile,A. Massal.,,comma lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,,Arthothelium,native,unlisted,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L35930,,,,,reported as Arthonia spectabilis,214359,LIC
Chrysothrix candelaris,(L.) J.R. Laundon,,gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,,Chrysothrix,native,unlisted,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L36178,,,,,see notes below,117938,LIC
Chrysothrix granulosa,G. Thor,,cushioned gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,,Chrysothrix,native,unlisted,new 2016,observed,,,,,,2016-06-19,Andrew Simon,http://www.inaturalist.org/observations/3498983,not reognized by Noble,203089,LIC
Chrysothrix xanthina,(Vain.) Kalb,,gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,,Chrysothrix,native,unlisted,new 2015,observed,,,,,,2015-03-13,Lauren Magner & Andrew Simon,https://www.inaturalist.org/observations/26655010,This sp confirmed by Troy via TLC; Noble reconized C. candelaris + C. chlorina; could it be that our flora includes only C. granulosa + C. xanthina ?,345245,LIC
Alyxoria varia,(Pers.) Ertz & Tehler,,scribble lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Lecanographaceae,,,Alyxoria,native,unlisted,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L35904,,2016-10-23,Andrew Simon,http://www.inaturalist.org/observations/4425709,reported as Opegrapha varia,462268,LIC
Cresponea chloroconia,(Tuck.) Egea & Torrente,,,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Opegraphaceae,,,Cresponea,native,S5 (2020),new 2020,observed,,,,,,2020-11-10,Randal Mindell,https://www.inaturalist.org/observations/64809961,,217756,LIC
Arthophacopsis parmeliarum,,,,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,,,,Arthophacopsis,,,new 2021,observed,,,,,,2021-10-23,Alejandro Huereca Delgado and Andrew Simon,https://www.inaturalist.org/observations/99510061,,462358,FUN
Chaenotheca ferruginea,(Turner ex Sm.) Mig.,,pin lichen,Fungi,Ascomycota,Pezizomycotina,,Coniocybomycetes,,,Coniocybales,,,Coniocybaceae,,,Chaenotheca,native,unlisted,reported,unobserved,1977-07-24,Willa J. Noble,UBC,L14867,,,,,,210527,LIC
Mycosphaerella cf chimaphilae,,,,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,,,Botryosphaeriales,,,Phyllostictaceae,,,Phyllosticta,,,new 2019,observed,,,,,,2019-07-12,Kevin Toomer,https://www.inaturalist.org/observations/28694020,,,FUN
Sorocybe resinae,,,,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,,,Chaetothyriales,,,Herpotrichiellaceae,,,Sorocybe,,,new 2020,observed,,,,,,2020-08-16,Andrew Simon,https://www.inaturalist.org/observations/57225200,,866707,FUN
Dermatocarpon intestiniforme,(Körb.) Hasse.,,quilted stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Dermatocarpon,native,SU (2010),reported,unobserved,1974-05-31,Willa J. Noble,UBC,L10822,,,,,,218252,LIC
Dermatocarpon leptophyllodes,(Nyl.) Zahlbr.,,jigsaw stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Dermatocarpon,native,S4 (2018),confirmed,observed,1974-05-29,Willa J. Noble,UBC,L10819,,2018-05-24,Andrew Simon,https://www.inaturalist.org/observations/12817811,,218253,LIC
Dermatocarpon miniatum,(L.) W. Mann,,leather lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Dermatocarpon,native,S4 (2010),confirmed,observed,1974-05-29,Willa J. Noble,UBC,L10813,,2016-04-23,Andrew Simon,http://www.inaturalist.org/observations/3031104,,154129,LIC
Dermatocarpon reticulatum,H. Magn.,,sandpaper stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Dermatocarpon,native,S5 (2018),confirmed,observed,1974-05-30,Willa J. Noble,UBC,L10806,,2016-06-28,Andrew Simon,http://www.inaturalist.org/observations/3542956,,218258,LIC
Hydropunctaria maura,(Wahl.) Keller & Gueidan,,wart lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,Hydropunctaria,native,unlisted,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L35924,,2020-04-10,Andrew Simon,https://www.inaturalist.org/observations/41881729,reported as Verrucaria maura,197141,LIC
