iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Author,Date observed,Description,Place name,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting
Bathydrilus litoreus,957359,Bathydrilus litoreus,Animalia,Annelida,,,Clitellata,Oligochaeta,,Tubificida,Tubificina,,,Naididae,Phallodrilinae,,Bathydrilus,Bathydrilus litoreus,"Baker, 1983",,,,naidid worm,1979-07-05,Randy Baker,Animalia,,,unobserved
Limnodriloides victoriensis,957352,Limnodriloides victoriensis,Animalia,Annelida,,,Clitellata,Oligochaeta,,Tubificida,Tubificina,,,Naididae,Limnodriloidinae,,Limnodriloides,Limnodriloides victoriensis,"Brinkhurst & Baker, 1979",,,,naidid worm,1979-07-05,Randy Baker,Animalia,,,unobserved
Phyllochaetopterus prolifica,467241,Phyllochaetopterus prolifica,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Chaetopteridae,,,Phyllochaetopterus,Phyllochaetopterus prolifica,"Potts, 1914",,,,prolific three-section tubeworm,2006-11-11,Andy Lamb,Animalia,,,unobserved
Phyllochaetopterus,374226,Phyllochaetopterus sp.,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Chaetopteridae,,,Phyllochaetopterus,,,,,,three-section tubeworm,2007-10-14,Andy Lamb,Animalia,,,unobserved
Diopatra ornata,339286,Diopatra ornata,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,,Onuphidae,Onuphinae,,Diopatra,Diopatra ornata,"Moore, 1911",,,,ornate tubeworm,1999-10-02,Andy Lamb,Animalia,2020-06-07,Jennifer Grant,observed
Aphrodita negligens,733687,Aphrodita negligens,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Aphroditidae,,,Aphrodita,Aphrodita negligens,"Moore, 1905",,,,sea mouse,1914-06-26,,Animalia,,,unobserved
Oxydromus pugettensis,494514,Oxydromus pugettensis,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Hesionidae,Ophiodrominae,Ophiodromini,Oxydromus,Oxydromus pugettensis,"(Johnson, 1901)",,,,bat star commensal worm,2006-06-23,Andy Lamb,Animalia,2018-08-10,Karolle Wall,observed
Alitta williami,1115984,Alitta williami,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Alitta,Alitta williami,"Villalobos-Guerrero & Bakken, 2018",,,,giant piling sea-nymph worm,,,Animalia,2017-04-17,Kristian Sigvardsen,observed
Nereis zonata,347330,Nereis cf zonata,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Nereis,Nereis zonata,,,,,ragworm,1986-09-30,,Animalia,,,unobserved
Nereis,81791,Nereis sp.,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Nereis,,,,,,sea-nymph worm,2008-03-01,Andy Lamb,Animalia,,,unobserved
Nereis vexillosa,81790,Nereis vexillosa,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Nereis,Nereis vexillosa,"Grube, 1851",,,,banner sea-nymph,1969-02-22,Andy Lamb,Animalia,2019-05-04,Lena Dietz Chiasson,observed
Platynereis bicanaliculata,129876,Platynereis bicanaliculata,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Platynereis,Platynereis bicanaliculata,"(Baird, 1863)",,,,algae-dwelling sea-nymph,,,Animalia,2019-05-04,Emily Adamczyk,observed
