scientificName,scientificNameAuthorship,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,hybrid,variety,provincial_status,national_status,global_status,linkName,linkTaxonID,provincial_status_norm,national_status_clean,national_status_norm,national_status_check,bc_list,residencyStatus,residencyStatusCheck,iNaturalistTaxonId,iNaturalistTaxonName,infraorder,genus,species,subspecies,nameStatus
Acartia longiremis,,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Copepoda,Gymnoplea,Calanoida,,,Acartiidae,,,,,,,,Acartia longiremis,203394,NA,,NA,FALSE,NA,NA,NA,203394,Acartia longiremis,,Acartia,longiremis,,accepted
Acromegalomma splendidum,,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,,,,,Acromegalomma splendidum,1240394,NA,,NA,FALSE,NA,NA,NA,1240394,Acromegalomma splendidum,,Acromegalomma,splendidum,,accepted
Acteocina cerealis,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Bulloidea,Tornatinidae,,,,,,,,Acteocina cerealis,49787,NA,,NA,FALSE,NA,NA,NA,49787,Acteocina cerealis,,Acteocina,cerealis,,accepted
Acteocina culcitella,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Bulloidea,Tornatinidae,,,,,,,,Acteocina culcitella,49788,NA,,NA,FALSE,NA,NA,NA,49788,Acteocina culcitella,,Acteocina,culcitella,,accepted
Actinostola faeculenta,,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinostoloidea,Actinostolidae,,,,,,,,Actinostola faeculenta,1435801,NA,,NA,FALSE,NA,NA,NA,1435801,Actinostola faeculenta,,Actinostola,faeculenta,,accepted
Adiantum aleuticum,,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,Pteridaceae,Vittarioideae,,,,,,,Adiantum pedatum,48435,NA,,NA,FALSE,NA,NA,NA,52667,Adiantum aleuticum,,Adiantum,aleuticum,,accepted
Aglaodiaptomus leptopus,,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Copepoda,Gymnoplea,Calanoida,,,Diaptomidae,,,,,,,,Aglaodiaptomus leptopus,212725,NA,,NA,FALSE,NA,NA,NA,212725,Aglaodiaptomus leptopus,,Aglaodiaptomus,leptopus,,accepted
Akiodoris salacia,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Akiodorididae,,,,,,,,Akiodoris salacia,50784,NA,,NA,FALSE,NA,NA,NA,50784,Akiodoris salacia,Doridoidei,Akiodoris,salacia,,accepted
Aleurodiscus penicillatus,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Stereaceae,,,,,,,,Aleurodiscus penicillatus,0,NA,,NA,FALSE,NA,NA,NA,712203,Aleurodiscus penicillatus,,Aleurodiscus,penicillatus,,accepted
Ampharete finmarchica,,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebelliformia,,Ampharetidae,Ampharetinae,,,,,,,Ampharete finmarchica,1244469,NA,,NA,FALSE,NA,NA,NA,1244469,Ampharete finmarchica,,Ampharete,finmarchica,,accepted
