Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Forficula auricularia,Linnaeus,common earwig,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Dermaptera,Forficulina,,Forficulidae,Forficulinae,,,reported,unobserved,1987-08-05,Geoffrey G.E. Scudder,SEM,SEM-UBC DER-0161,,,,,,,ART
Bibio vestitus,Walker,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Bibionoidea,Bibionidae,,,,reported,unobserved,1979-04-16,Syd G. Cannings,SEM,SEM-UBC DIP-0098,,,,,,,ART
Kleidocerys resedae resedae,(Panzer),birch catkin bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Lygaeidae,,,,reported,unobserved,1987-08-05,Geoffrey G.E. Scudder,SEM,SEM-UBC LYG-0006,,,,,,,ART
Eurygaster alternata,(Say),jewel bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Scutelleridae,,,,reported,unobserved,1987-08-05,Geoffrey G.E. Scudder,SEM,SEM-UBC HET-4892,,,,,,,ART
Vespula consobrina,(de Saussure),black-jacket,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,native,S5? (2017),reported,unobserved,1989-06-30,J. McTaggart-Cowan,SEM,SEM-UBC HYM-0603,,,,,,,ART
Hemerobius pacificus,Banks,Pacific brown lacewing,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Neuroptera,Hemerobiiformia,Hemerobioidea,Hemerobiidae,,unlisted,SNR,reported,unobserved,1987-08-05,E. Scudder,SEM,SEM-UBC NEU-1249,,,,,,,ART
Porichthys notatus,,plainfin midshipman,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Batrachoidiformes,,,Batrachoididae,,,,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.11,,,,,,,FIS
Gadus macrocephalus,"Tilesius, 1810",Pacific cod,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,Gadidae,,native,SNR,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.2,,,,,,,FIS
Merluccius productus,"Girard, 1856",North Pacific hake,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,Merlucciidae,,native,SNR,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.3,,,,,,,FIS
Lepidogobius lepidus,"Girard, 1858",bay goby,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gobiiformes,,,Oxudercidae,,native,SNR,reported,unobserved,1981-06-18,Margaret J. Legg,CMN,CMNFI 1981-1011.14,,,,,,,FIS
