Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Acalypta parvula,,,Animalia,Arthropoda,,,Insecta,,,Hemiptera,,,Tingidae,,,,,observed,24-May-14,Claudia Copley,Copley 14,,,,,,Mary Hill/DND;,,ART
Acanthodoris hudsoni,,Hudson's horned dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,,unobserved,1-Oct-03,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MOL
Accipiter cooperii,,Cooper's hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,,,observed,5-May-12,Ann Nightingale,Birding Team 12,,,,,,Mary Hill/DND;,,BIR
Acleris,,,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Tortricidae,,,,,observed,5-May-12,Libby Avis,Avis Camas 12,,,,,,Camas Hill;,,ART
Acmaea mitra,,,Animalia,Mollusca,,,Gastropoda,,,,,,Acmaeidae,,,,,observed,30-Apr-11,Philip Lambert,Lambert Race Rocks 11,,,,,,Race Rocks;,,MOL
Adejeania vexatrix,,Tachnid fly,Animalia,Arthropoda,,,Insecta,,,Diptera,,,Tachinidae,,,,,observed,30-Apr-11,Richard Winder,Winder Rafuse Matheson 11,,,,,,Garry Fletcher property;,,ART
Adela septentrionella,,fairy longhorn moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Adeloidea,Adelidae,Adelinae,,,,observed,24-May-14,Moralea Milne,Camas Hill 14,,,,,,Camas Hill;,,ART
Adela trigrapha,,three-striped longhorn,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Adeloidea,Adelidae,Adelinae,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,ART
Aechmophorus occidentalis,,western grebe,Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,Podicipedidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Aegolius funereus,,Boreal Owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,Strigidae,,,,,unobserved,28-Dec-14,Val George,Race Rocks Inventory,,,,,,Metchosin ? see Compiler Notes;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Aeolidia papillosa,,papillate sea slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,,,observed,27-Apr-13,Philip Lambert,Lambert 13,,,,,,Race Rocks;,,MOL
Aequorea victoria,,crystal jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,,,,unobserved,1-Jan-06,Dr. Anita Brinckmann-Voss,Race Rocks Inventory,,,,,,Race Rocks;,,JEL
Agelaius phoeniceus,,red-winged blackbird,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Icteridae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Aglais milberti,,Milbert's Tortoiseshell,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Nymphalidae,,,,,observed,13-Jun-15,Jeremy Tatum,Tatum 15,,,,,,Matheson;,,ART
Agonopterix alstroemeriana,,,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Depressariidae,,,,,observed,5-May-12,Libby Avis,Avis Pearson 12,,,,,,Pearson College;,,ART
Agulla,,snake fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Raphidioptera,,,Raphidiidae,Raphidiinae,,,,observed,9-May-16,"Copley, Claudia R.",Albert Head 16,,,,,,Matheson Park;,,ART
Aix sponsa,,wood duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Alopecosa kochi,,koch fox spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,"Camas Hill, Impala Road;",,ART
Alucita montana,,Montana six-plume moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Alucitoidea,Alucitidae,,,,,observed,27-Apr-13,Libby Avis,Pearson Avis 13,,,,,,Pearson College lands;,,ART
