iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Accession Number,iNaturalist Observation Link,iNaturalist Obs Photo Link,Notes,Critical Notes,Common name
Hololepida magna,221400,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Lepidonotinae,,Hololepida,Hololepida magna,Hololepida magna,,not in CDC records,reported,0000-00-00,,SQUAMISH,,,976-00029-002,,,historical record Horseshoe Bay,,giant fleshy scaleworm family
Lumbricus terrestris,81545,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,,,Lumbricidae,,,Lumbricus,Lumbricus terrestris,Lumbricus terrestris,Exotic,SNA (2019),new 2018,,,SQUAMISH,2018-09-09,benkeen,,https://www.inaturalist.org/observations/16374324,https://static.inaturalist.org/photos/24621127/medium.jpg?1536539520,,,common earthworm
Alopecosa kochi,143470,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,Alopecosa,Alopecosa kochi,Alopecosa kochi,Native,S5 (2018),new 2014,,,SQUAMISH,2010-07-24,elsemikkelsen,,https://www.inaturalist.org/observations/9235173,https://static.inaturalist.org/photos/12499164/medium.jpg?1513976420,,,Koch's wolf spider
Araneus diadematus,52628,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,Araneus,Araneus diadematus,Araneus diadematus,Exotic,SNA,new 2009,,,SQUAMISH,2005-10-02,hillanddale,,https://www.inaturalist.org/observations/8540621,https://static.inaturalist.org/photos/11409425/medium.jpeg?1508905114,,,cross orbweaver
Callobius severus,49549,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,,Callobius,Callobius severus,Callobius severus,Native,S5 (2018),new 2018,,,SQUAMISH,2014-12-19,benkeen,,https://www.inaturalist.org/observations/19130251,https://static.inaturalist.org/photos/29366496/medium.jpg?1545373240,,,hacklemesh weaver
Cheiracanthium mildei,61869,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Cheiracanthiidae,,,Cheiracanthium,Cheiracanthium mildei,Cheiracanthium mildei,Exotic,SNA,new 2019,,,SQUAMISH,2015-03-24,benkeen,,https://www.inaturalist.org/observations/21616161,https://static.inaturalist.org/photos/33463920/medium.jpg?1553562775,,,yellow sac spider
Enoplognatha ovata,219195,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Enoplognatha,Enoplognatha ovata,Enoplognatha ovata,Exotic,SNA,new 2019,,,SQUAMISH,2015-07-31,benkeen,,https://www.inaturalist.org/observations/30021186,https://static.inaturalist.org/photos/46881869/medium.jpeg?1564714394,,,common candy-striped spider
Eratigena duellica,750907,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,Eratigena,Eratigena duellica,Eratigena duellica,,genus is in CDC records,new 2017,,,SQUAMISH,2013-04-19,gwenlh,,https://www.inaturalist.org/observations/8311370,https://static.inaturalist.org/photos/11035128/medium.jpg?1507478913,"CDC records only E. agrestis and E. atrica, both are Exotic",,giant house spider
Eriophyes emarginatae,322964,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,Eriophyinae,Eriophyini,Eriophyes,Eriophyes emarginatae,Eriophyes emarginatae,,not in CDC records,new 2014,,,SQUAMISH,2010-06-20,judithofsquamish,,https://www.inaturalist.org/observations/8893748,https://static.inaturalist.org/photos/11966085/medium.jpeg?1511328565,,,plum finger gall mite
Eris militaris,121445,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Eris,Eris militaris,Eris militaris,Native,S4S5 (2018),new 2019,,,SQUAMISH,2015-05-25,citizen1,,https://www.inaturalist.org/observations/26099750,https://static.inaturalist.org/photos/40497835/medium.jpg?1559278501,,,bronze jumping spider
Larinioides sclopetarius,538959,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,Larinioides,Larinioides sclopetarius,Larinioides sclopetarius,Exotic,SNA,new 2015,,,SQUAMISH,2015-07-04,benkeen,,https://www.inaturalist.org/observations/28275245,https://static.inaturalist.org/photos/44066318/medium.jpeg?1562389743,,,grey cross spider
Maevia inclemens,133054,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Maevia,Maevia inclemens,Maevia inclemens, ,not in CDC records,recorded,2009-06-16, ,SQUAMISH,,,ENT009-004643,,,Big Rideau Lake; Horseshoe Bay,,dimorphic jumping spider
Misumena vatia,55746,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,Misumena,Misumena vatia,Misumena vatia,Native,S5 (2018) ,new 2015,,,SQUAMISH,2011-06-06,judithofsquamish,,https://www.inaturalist.org/observations/6016409,https://static.inaturalist.org/photos/7527932/medium.jpeg?1493513733,,,goldenrod crab spider
