Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name,Observation Taxon Name
Sagittaria latifolia,Willd.,,broadleaf arrowhead,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Alismataceae,,,Sagittaria,latifolia,,,,native,S5 (2019),,new 2021,observed,,,,,,2021-07-13,pumakit,https://www.inaturalist.org/observations/86945066,iNat: needs i.d.,48070,,accepted,48070,Sagittaria latifolia,Sagittaria latifolia,Sagittaria latifolia
Lemna minor,"L,",,common duckweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Lemnoideae,,Lemna,minor,,,,native,S5 (2019),,new 2019,observed,,,,,,2019-12-28,benkeen,https://www.inaturalist.org/observations/37048511,,54518,,accepted,54518,Lemna minor,Lemna minor,Lemna minor
Lysichiton americanus,Hultén & H.St.John,,western skunk cabbage,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Orontioideae,,Lysichiton,americanus,,,,native,S5 (2019),,new 2013,observed,,,,,,2013-08-16,jmaughn,http://www.inaturalist.org/observations/367813,,48537,,accepted,48537,Lysichiton americanus,Lysichiton americanus,Lysichiton americanus
Triglochin maritima,L.,,common arrowgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Juncaginaceae,,,Triglochin,maritima,,,,native,S5 (2000),,confirmed,observed,1997-05-18,Gerald B. Straley,UBC,UBC: V226287,,2019-05-26,citizen1,https://www.inaturalist.org/observations/26127503,,60264,,accepted,60264,Triglochin maritima,Triglochin maritima,Triglochin maritima
Potamogeton berchtoldii,Fieber,,small pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,berchtoldii,,,,native,S4 (2001),,reported,unobserved,1982-08-02,A.A. Rose,UBC,UBC: V176401,,,,,"UBC:  NW side of Squamish River Rd at Mile 15, herbarium record P. pusillus",78706,,accepted,78706,Potamogeton berchtoldii,Potamogeton berchtoldii,
Potamogeton epihydrus,Raf.,,ribbon-leaved pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,epihydrus,,,,native,S5 (2000),,reported,unobserved,1982-08-02,A.A. Rose,UBC,UBC: V176399,,,,,"UBC:  NW side of Squamish River Rd at Mile 15, herbarium record P. pusillus",78709,,accepted,78709,Potamogeton epihydrus,Potamogeton epihydrus,
Potamogeton foliosus,Raf.,,leafy pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,foliosus,,,,native,S4S5 (2015),,reported,unobserved,1977-08-12,J. M. Goddard,RBCM,V171312,,,,,RBCM:  Lucille Lake,59107,,accepted,59107,Potamogeton foliosus,Potamogeton foliosus,
Potamogeton natans,L.,,floating-leaved pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,natans,,,,native,S5? (2015),,new 2009,observed,,,,,,2009-12-28,benkeen,https://www.inaturalist.org/observations/37048406,,78712,,accepted,78712,Potamogeton natans,Potamogeton natans,Potamogeton natans
Potamogeton pusillus,L.,,small pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,pusillus,,,,native,S4 (2001),,reported,unobserved,1977-08-11,Patrick D. Warrington,RBCM,V171965,,,,,"RBCM:  Brohm Lake, Cheekye",78714,,accepted,78714,Potamogeton pusillus,Potamogeton pusillus,
Zannichellia palustris,L.,,horned pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Zannichellia,palustris,,,,native,S4 (2015),,reported,unobserved,1981-07-29,G.E. Bradfield,UBC,UBC: V175131,,,,,,79546,,accepted,79546,Zannichellia palustris,Zannichellia palustris,
