Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,
Hololepida magna,Moore,giant fleshy scaleworm family,Animalia,Annelida,,,Polychaeta,Erantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Lepidonotinae,,not in CDC records,reported,undocumented,0000-00-00,,RBCM,976-00029-002,,,,,historical record Horseshoe Bay,0,,
Lumbricus terrestris,L.,common earthworm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,,,Lumbricidae,,Exotic,SNA (2019),new 2018,documented,,,,,2018-09-09,benkeen,https://www.inaturalist.org/observations/16374324,https://static.inaturalist.org/photos/24621127/medium.jpg?1536539520,,81545,,
Alopecosa kochi,Keyserling,Koch's wolf spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Native,S5 (2018),new 2014,documented,,,,,2010-07-24,elsemikkelsen,https://www.inaturalist.org/observations/9235173,https://static.inaturalist.org/photos/12499164/medium.jpg?1513976420,,143470,,
Araneus diadematus,Clerck,cross orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,Exotic,SNA,new 2009,documented,,,,,2005-10-02,hillanddale,https://www.inaturalist.org/observations/8540621,https://static.inaturalist.org/photos/11409425/medium.jpeg?1508905114,,52628,,
Callobius severus,Simon,hacklemesh weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,Native,S5 (2018),new 2018,documented,,,,,2014-12-19,benkeen,https://www.inaturalist.org/observations/19130251,https://static.inaturalist.org/photos/29366496/medium.jpg?1545373240,,49549,,
Castianeira sp.,Keyserling,ant-mimic sac spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,,Exotic,SNA,new 2019,documented,,,,,2015-03-29,judithofsquamish,https://www.inaturalist.org/observations/21827468,https://static.inaturalist.org/photos/33815495/medium.jpeg?1554045368,,48134,,
Cheiracanthium mildei,C.L. Koch,yellow sac spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Cheiracanthiidae,,Exotic,SNA,new 2019,documented,,,,,2015-03-24,benkeen,https://www.inaturalist.org/observations/21616161,https://static.inaturalist.org/photos/33463920/medium.jpg?1553562775,,61869,,
Enoplognatha ovata,Clerck,common candy-striped spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,Exotic,SNA,new 2019,documented,,,,,2015-07-31,benkeen,https://www.inaturalist.org/observations/30021186,https://static.inaturalist.org/photos/46881869/medium.jpeg?1564714394,,219195,,
Eratigena duellica,C.L. Koch,giant house spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,genus is in CDC records,new 2017,documented,,,,,2013-04-19,gwenlh,https://www.inaturalist.org/observations/8311370,https://static.inaturalist.org/photos/11035128/medium.jpg?1507478913,"CDC records only E. agrestis and E. atrica, both are Exotic",750907,,
Eriophyes emarginatae,Duluth,plum finger gall mite,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,,,not in CDC records,new 2014,documented,,,,,2010-06-20,judithofsquamish,https://www.inaturalist.org/observations/8893748,https://static.inaturalist.org/photos/11966085/medium.jpeg?1511328565,,322964,,
