Group,Scientific.name,Common.name ,Hulquminum.name,French.name,Ecosystem.guide.content,Ecosystem.guide.value.Fd,Ecosystem.guide.value.Md,Ecosystem.guide.value.Sp,Ecosystem.guide.value.Mt,Ecosystem.guide.value.Tr,Ecosystem.guide.value.Id
Plants,Arbutus menziesii,arbutus,Qaanlhp,l'arbousier,"A tree with distinctive orange-red bark, qaanlhp is very tolerant of extremely dry areas and is common on dry rockly bluffs throughout southern Vancouver Island and the Gulf Islands. It is a broad leaf evergreen that loves the sun. Qaanlhp leaves are used as a flavour addititve and preservative. As soon as wild game is harvested, the leaves are placed in the gut of the animal. ",1,1,1,1,0,1
Plants,Rosa gymnocarpa,baldhip rose ,Xwiinlhp,le rosier à fruits nus,"Xwiinlhp is the more subtle of the wild roses, with a smaller leaves, thorns and hips. The thorns are much more numerous but are not as solid and as well established as qel'quhlp. Xwiilhp is found in a wide range of habitats. Xwiinlhp hips are smaller than those of qel'qulhp but are edible as a whole as the seeds are rather small. They have a sweeter taste. The flowers are edible as well. ",1,1,1,1,1,0
Plants,Corylus cornuta var. california,beaked hazlenut,P'qw'axw,le noisetier à long bec,"P'qw'axw prefers moist but well-drained sites. They can also occur on rocky areas that are quite dry as well as in open meadows. P'qu'axw develops a nut encased in a husk that forms a beak-like shaoe, usually in clusters of two or more hanging from the branches. If you listen to the squirrels chattering and fighting in a p'qw'axw tree, they will start chattering when the hazlenuts are ready. If you want a share of the nuts, you have to rush in and get some while you can. P'qw'axw are not that plentiful but you can still find them. ",1,0,1,1,1,0
Plants,Acer macrophyllum,big leaf maple,"Ts'alhulhp, Q'um'-unulhp",l'érable grandifolié,"Ts'alhulhp is among the first to sprout and grow after forests have been logged. Ts'alhulhp generally prefer moist or wet areas (such as at or near water sources) but can tolerate some drier areas. There are two different names used for this species: ts'alhulhp is the general name and q'um'unulhp is the name used for the ones that have straight flexible wood ideal for making paddles (sq'umul is the word for paddle). It is used to make toys, tools, masks and whistles. Many parts are medicine, including the sxe'mut (running sap), sxamutus (cambium), and shoots. The leaves were used in steaming pits to flavour deer, seal or porpoise meat. ",1,1,1,1,1,0
Plants,Rubus leucodermis,blackcap raspberry ,Tsulqama',le framboisier noir,"Tsulqama' grows in a wide range of habitats but prefers drier habitat with good drainage. They are found at sea level to mid-elevations especially in areas that have been logged, and are now also occuring in the lower reaches of the valleys. The berries are first red then turn purple or black. Tsulqama' is the term used for both blackcaps and raspberries. Today the name is commonly used for raspberries. They are easy to dry, alone or mixed with salal. ",1,1,1,0,1,1
Plants,Populus trichocarpa,black cottonwood,Tsuw'nulhp,le peuplier de l'ouest,"Tsuw'nulhp is common in wetlands, riverbeds, and riparian areas. They can grow in gravel bars along rivers and are often among the first to sprout up in disturbed sites. If you can find red tsuw'nulhp roots from an undercut bank, you can brew them to make a shampoo. Tsuw'nulhp's heavy outer bark is soft and has been used to carve soft figures (toys) as it has no slivers; it is fine (ts'i-tsum). The heavy outer bark of an older cottonwood is called qwoonulhp. ",1,1,1,1,1,1
Plants,Crataegus douglasii,black hawthorn,Metth'unulhp,l'aubépine noire,"Metth'unulhp is a tall shrub or small tree. It has small blackish ""apples"". Its thorns are 1-2cm in length. Metth'unulhp generally grows in riparian and other wet areas but may be found on rocky slopes as well. The fruits are sometimes eaten in times of need. The taste is bland (tth'ewun) but not offensive. Metth'unulhp wood, if well-cured, can be very useful when you need hard and strong wood, and was valuable for trading. ",1,1,1,1,1,1
Plants,Vaccinium spp,blueberries,Ye'xum,les bluets ,"The name ye'xum is used as a general name for several species found in different habitats, from ocean side to subalpine to alpine. They also range in size from small dwarf plants of just a few inches to shrubs 2 metres tall. Other species include black huckleberry, Alaskan blueberry and dwarf blueberry. Ye'xum is a species that is often harvested when in the same habitat as other resources. ",1,1,0,0,0,0
Plants,Camassia quamash,blue camas,Speenhw,le petit camas,"Speenhw was at one time very common in open grasslands and p'hwulhp meadows. Today speenhw is not nearly as common and is found mainly on more remote mountain slopes, p'hwulhp meadows and small pockets of rocky grassland. There are two species: common camas (C. quamash) and giant camas (C. leichtlinii). Speenhw are a root crop that has been a traditional staple. Beds of speenhw can be managed (tilling soil, fertilizing, burning) to encourage growth and discourage death camas and other unwanted plants. Extreme caution should be used when harvesting speenhw as death camas–which has cream-coloured flowers–has bulbs that look very much the same, and their ingestion can be fatal. Death camas was used with extreme caution in a mix with other medicines. ",1,0,0,0,1,0
Plants,Sambucus caerulea,blue elderberry,"Tth'ikwikw, Tth'uykwikw",le sureau bleu ,"Tth'ikwikw (also pronounced tth'uykwikw) is common to riparian areas and is more tolerant of open sun than its red counterpart (tth'iwuq'). The large hollow stems are used by children as a toy like a pea-shooter. It bears an abundance of blue waxy or powdery looking berries. The berries start out very light coloured and later become blue, and mature later than tth'iwuq'. Tth'ikwikw/tth'uykwikw berries are edible and is more likely than tth'iwuq' to have its berries used for food as the berries have sweeter taste. All parts of this plant have medicinal value. ",1,1,1,1,1,0
Plants,Oxycoccus oxycoccos / Vaccinium oxycoccos,bog cranberry,Qwum'tsa'ls,l'airelle canneberge ,"Qwum'tsa'ls is a low, slender creeping evergreen vine of peat bogs. The flowers are small and pink. The name qwum'tal-s tells you what happens to you when you eat something sour and your eyes squint. If you pick the berries after autumn frosts, the cold weather will sweeten them. ",1,1,1,1,1,0
Plants,Pteridium aquilinum,bracken fern,Suqeen,la grande fougère,"Suqeen is a common tall (3-5 m) fern that occurs in meadows, forest openings and riparian areas. They can be found in a wide variety of areas from wet stream banks to dry mountain slopes. A multi-use plant, suqeen (plant portion) is often used as a cleaning absorptive, and as an absorptive used when gutting fish, deer and elk. Suqeen can also be used for emergency bedding or to flavour freshly caught game as you bring it home. The root (se'uq) can be used to make a flour for making bread. ",1,1,0,1,0,0
Plants,Plantago major,broadleaf plantain,Sxu'enhween,le plantain majeur,"Sxu'enhween is a common non-native plant that grows in moist to somewhat dry areas especially with low grassy cover, such as alongside trails and roads. The uses of sxu'enhween are generally medicinal in nature. It is often used as a children's game as well: when you pull the leaves off the plant, it is said to forecast how many children you will have. ",0,1,0,0,1,0
Plants,Cornus canadensis,bunchberry,Kwii-kwi't-xulhp,le cornouiller du Canada,"Kwii-kwi't-xulhp is a small plant that lives in moist mixed and coniferous forests. It has flowers that resemble the much larger dogwood tree. After flowering, it develops a small cluster of berries that form in the center of the plant. Kwii-kwi't-xulhp is a food item although it's very bland–a food that can be used when available and when nothing else is...a tide-you-over kind of food. ",1,1,1,0,0,0
Plants,Arctium lappa/ Arctium minus,"burdock (common, great)",Sexum,la grande bardane/la bardane mineure,"Sexum grows in both shaded and open mixed forests. The flowers resemble and can be easily mistaken for thistles, but can be distinguished by their extremely large leaves and hooked bracts. It has an extremely deep taproot that can extend down 30 cm. Sexum is an introduced species that was not commonly utilized in the past but its food and medicinal properties have more recently been utilized. Its fibres can also be used as a kind of strong twine. ",1,1,0,1,0,0
Plants,Rhamnus purshiana,cascara,Q'ey'xulhp,la cascara,Q'ey'xulhp is a small to medium-sized tree generally found at lower elevations in riparian areas or shaded mixed or coniferous forests. Q'ey'xulhp can be used a medicine alone or mixed with many ingredients. Caution must be exercised as it can be a very strong laxative. ,0,1,0,1,1,0
Plants,Typha latifolia ,cattail (bulrush),Stth'e'qun ,ka quenouille à feuilles larges ,Stth'e'qun grows in marshy wet areas and places with slow-moving or still water. The brown fluffy part at the top of the plant is sthxa'ya'qe. It is mixed with mountain goat wool and cedar bark for insulation. ,1,1,1,1,1,1
Plants,Heracleum lantum,cow parsnip,"Saaqw',yaala'",le berce laineuse,"Yaala'is found in shaded riparian areas such as flood plains, stream banks, moist clearings and roadsides. Yaala' is the name for the plant in its mature form; next to it growing a plant with one leaf (from same plant) is the saaqw'. When the plant matures from the saaqw' or immature form, it will develop a husk or casing that envelopes the top of the main stem. The main stem of yaala' can be eaten once the stem is semi-mature enough to be peeled. It must be eaten in less than two weeks from the time it matures or it will be too fribrous to eat. It can be eaten cooked or raw and has sometimes been called ""native rhubarb"". Care must be taken not to mistake saaqw' for sq'une'yux (Palmate Coltsfoot), which is not edible and is toxic. ",1,1,0,0,0,0
Plants,Oplopanax horridus,devils club,Qwa'pulhp,le bois piquant,"Qwa'pulhp is a 1 - 3 m tall shrub with yellow stining spines 5-10 mm long on both its stalk and leaves. Its grows in wet moist stream banks and rich moist forests. It has clusters of bright red berries.Qwa'pulhp has multiple uses. The berries, stalks, bark, roots and needles are all used. Caution should be exercised as some people may have severe allergies to it–even a minor scratch can cause a reaction in those who are sensitive to it. This plant is also an indicator species for the presence of Indian Hellebore and other plants.",0,1,1,1,1,1
Plants,Pseudotsuga menziesii,douglas-fir,Ts'sey',le douglas taxifolie,"Ts'sey is a very common tree found in dry to moist areas in lowlands and rocky forests. There are two different types–one in the interior and one out on the coast. There are two different types of ts'sey' that are identified for their differing properties and uses. The cambium (fresh inner growth) is used as well. People are careful when they harvest ts'sey', not taking any with thin bark, only ones with thick bark, so as not to kill the tree. The fine slivers from the inside bark are called s-ts'i- tsum. ",1,1,1,1,1,1
Plants,Epilobium angustifolium,fireweed,Xats'et,l'epilobe a feuilles etroites,"Xáts’et is often found in logging sites, burned areas, roadsides, river bars and meadows. It quickly colonizes disturbed areas, and grows and flowers as long as there is open space and light. The veins on the leaves form circular loops and join together inside the outer leaf margins, a unique feature that makes the plant easy to identify in all stages of growth. Xáts’et fluff is used a filler and bedding and also is woven into cedar clothing or combined with mountain goat wool to fill the weave and fibres. The plant is also used as seasoning for meat: hunters fill the internal cavity of a freshly caught animal with xáts’et to improve its flavour and keep it fresh. If going a long distance, this seasoning is changed several times. ",1,1,0,1,0,1
Plants,Quercus garryana,garry oak ,P'hwulhp,le chene de garry,"P'hwulhp is found in association with ts'sey' and qaanlhp in mixed stands, or in open meadows as scattered trees. Some p'hwulhp meadows are known for drawing in wildlife, particularly deer. P'hwulhp has medicinal value as well as being a host for lichens and other important medicines. In areas where there are bluffs and the leaves are dry, you can hear the deer rustling, looking for acorns–and if you are attentive, you have your supper! ",1,1,0,1,1,1
Plants,Equisetum telmateia,giant horsetail (shoots),Sxum'xum',les pousses de la grande prele,"Sxum'xum' grows in wet areas, often along roadsides, swamps, creeks and meadows. There are several different kinds that fall under this general name. Water from the stems can be drunk. Sxum'xum' is also an important springtime vegetable, eaten raw. ",1,0,0,1,0,0
