iNaturalis,iNatural_1,Taxon name,ambiguousN,nameStatus,Common nam,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamil,Family,Subfamily,Tribe,Genus,Species,observatio,Latitude,Longitude,Date obser,Descriptio,Place name,Recorded b,Event Rema,coordinate,Individual,Depth,gbifOccurr,Catalog Nu,Confidence,Sex,Field numb,Coordina_1,Coordina_2,GeoCorrect,LatNew,LongNew
Sonchus arvensis arvensis,80219,Sonchus arvensis arvensis,0,accepted,glandular field sowthistle,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,arvensis,iNat:3640293,48.943255000000001,-123.510222,2016-07-05,,,Adam Huggins,,,,,,,,,,,,yes,48.943375,-123.510439
Aphyllon purpureum,739040,Aphyllon purpureum,0,accepted,oneflower broomrape,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Orobancheae,Aphyllon,purpureum,iNat:5672024,48.940201000000002,-123.500612,2007-05-04,,,Karolle Wall,,179,,,,,,,,,,yes,48.94018,-123.500347
Zostera marina,52614,Zostera marina,0,accepted,Eelgrass,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Zosteraceae,,,Zostera,marina,iNat:6298903,48.940750999999999,-123.50306,2017-05-18,,,Andrew Simon,,17,,,,,,,,,,yes,48.940706,-123.503108
Aphyllon purpureum,739040,Aphyllon purpureum,0,accepted,oneflower broomrape,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Orobancheae,Aphyllon,purpureum,iNat:6493585,48.939568999999999,-123.501515,2017-05-28,,,Ayla M,,65,,,,,,,,,,yes,48.939563,-123.501441
Salix hookeriana,78941,Salix hookeriana,0,accepted,coastal willow,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Salix,hookeriana,iNat:15814447,48.946160999999996,-123.510076,2018-08-22,,,Andrew Simon,,31,,,,,,,,,,yes,48.946218,-123.510037
Camassia,62219,Camassia,0,accepted,camas,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Agavoideae,,Camassia,,iNat:23551408,48.939278000000002,-123.501275,2019-04-27,,,Adam Huggins,,5,,,,,,,,,,yes,48.939292,-123.501213
Sedum album,79025,Sedum album,0,accepted,white stonecrop,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,album,iNat:45326893,48.941127999999999,-123.502008,2020-05-08,,,Andrew Simon,,,,,,,,,,,,yes,48.94183,-123.501542
Lathyrus nevadensis,77640,Lathyrus nevadensis,0,accepted,Sierra Nevada Peavine,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Fabeae,Lathyrus,nevadensis,iNat:45326907,48.940061999999998,-123.500585,2020-05-08,,,Andrew Simon,,,,,,,,,,,,yes,48.940046,-123.50041
Papaver,52504,Papaver,0,accepted,poppies,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Papaveraceae,Papaveroideae,Papavereae,Papaver,,iNat:45333369,48.941115000000003,-123.500968,2020-05-08,,,Andrew Simon,,,,,,,,,,,,yes,48.941215,-123.500688
Paxistima myrsinites,63893,Paxistima myrsinites,0,accepted,Oregon Boxwood,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Celastrales,,,,Celastraceae,,,Paxistima,myrsinites,iNat:47625438,48.939636999999998,-123.504075,2020-05-22,,,,,32,,,,,,,,,,yes,48.939619,-123.503972
