iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Date observed,Description,Place name,Common name,Recorded by,Event Remarks,coordinateUncertaintyInMeters,Individual count,Depth,gbifOccurrenceID,Catalog Number,Confidence,Sex,Field number,Coordinates Corrected,Coordinates Corrected Note,STATE,CLASS,SUB_CLASS,COMMENT,COMMUNITY,COMM_HULQ,LABEL,LABEL_HULQ,LABEL_LAB,clazz,LEGEND_LAB
Metridium senile,49071,Metridium senile,,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,senile,PMLS:13,48.939813,-123.501514,1969-02-21T11:00:00,,Retreat Cove,short plumose anemone,Andy Lamb,,,,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Balanophyllia elegans,51799,Balanophyllia elegans,,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,,Dendrophylliidae,,,Balanophyllia,elegans,PMLS:14,48.939813,-123.501514,1969-02-21T11:00:00,,Retreat Cove,orange cup coral,Andy Lamb,,,,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Ptilosarcus gurneyi,448320,Ptilosarcus gurneyi,,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Scleralcyonacea,,,Pennatuloidea,Pennatulidae,,,Ptilosarcus,gurneyi,PMLS:15,48.939813,-123.501514,1969-02-21T11:00:00,collected,Retreat Cove,orange sea pen,Andy Lamb,collected,,,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Serpula columbiana,131207,Serpula columbiana,,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Serpula,columbiana,PMLS:16,48.939813,-123.501514,1969-02-21T11:00:00,,Retreat Cove,red-trumpet calcareous tubeworm,Andy Lamb,,,,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Dodecaceria fewkesi,192656,Dodecaceria fewkesi,,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,,Cirratulidae,,,Dodecaceria,fewkesi,PMLS:17,48.939813,-123.501514,1969-02-21T11:00:00,collected,Retreat Cove,fringed filament-worm,Andy Lamb,collected,,,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Eudistylia vancouveri,84864,Eudistylia vancouveri,,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Eudistylia,vancouveri,PMLS:18,48.939813,-123.501514,1969-02-21T11:00:00,collected,Retreat Cove,Vancouver feather-duster,Andy Lamb,collected,,,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Schizobranchia insignis,339561,Schizobranchia insignis,,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Schizobranchia,insignis,PMLS:19,48.939813,-123.501514,1969-02-21T11:00:00,collected,Retreat Cove,split-branch feather-duster,Andy Lamb,collected,,,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Chlamys,84497,Chlamys sp.,,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,,Pectinoidea,Pectinidae,Pedinae,Chlamydini,Chlamys,,PMLS:20,48.939813,-123.501514,1969-02-21T11:00:00,"collected, with Mycale/Myxilla",Retreat Cove,pink scallop,Andy Lamb,"collected, with Mycale/Myxilla",,,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Crassadoma gigantea,54526,Crassadoma gigantea,,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,,Pectinoidea,Pectinidae,Pedinae,Crassadomini,Crassadoma,gigantea,PMLS:21,48.939813,-123.501514,1969-02-21T11:00:00,collected,Retreat Cove,giant rock scallop,Andy Lamb,collected,,,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Diodora aspera,64148,Diodora aspera,,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,,Fissurelloidea,Fissurellidae,Diodorinae,,Diodora,aspera,PMLS:22,48.939813,-123.501514,1969-02-21T11:00:00,collected,Retreat Cove,rough keyhole limpet,Andy Lamb,collected,,,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Nucella lamellosa,117641,Nucella lamellosa,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Ocenebrinae,,Nucella,lamellosa,PMLS:23,48.939813,-123.501514,1969-02-21T11:00:00,,Retreat Cove,wrinkled dogwinkle,Andy Lamb,,,,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Peltodoris nobilis,48450,Peltodoris nobilis,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Discodorididae,,,Peltodoris,nobilis,PMLS:24,48.939813,-123.501514,1969-02-21T11:00:00,collected,Retreat Cove,noble sea lemon,Andy Lamb,collected,,present,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
Doris montereyensis,47469,Doris montereyensis,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Dorididae,,,Doris,montereyensis,PMLS:25,48.939813,-123.501514,1969-02-21T11:00:00,collected,Retreat Cove,Monterey sea lemon,Andy Lamb,collected,,present,70,,,,,,,,Natural,MAR,,,Marine,,Subtidal,,Subtidal,Subtidal,
