Plot Name,Males,Females,pollinatorINatName,scientificName,plantINatName,plantScientificName,decimalLongitude,decimalLatitude,eventDate
114A00,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio multilobatus,Senecio multilobatus,-112.3279,37.2775,2001-06-06
114A00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Brassicaceae,Brassicaceae sp.,-112.3279,37.2775,2001-07-24
TM2,1,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea parvifolia,Sphaeralcea parvifolia,-112.2565,37.2634,2003-08-05
TM2,6,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Chrysothamnus greenei,Chrysothamnus greenei,-112.2565,37.2634,2003-09-05
TM2,3,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio spartioides,Senecio spartioides,-112.2565,37.2634,2003-09-05
TM2,2,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Chrysothamnus greenei,Chrysothamnus greenei,-112.2565,37.2634,2003-09-24
TM2,3,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio spartioides,Senecio spartioides,-112.2565,37.2634,2003-09-24
101A00,0,3,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.5353,37.7808,2002-05-13
101A00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.5353,37.7808,2002-06-18
101A00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Melilotus alba,Melilotus alba,-111.5353,37.7808,2001-07-23
101A00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea coccinea,Sphaeralcea coccinea,-111.5353,37.7808,2001-07-23
101A00,0,3,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia polyacantha,Opuntia polyacantha,-111.5353,37.7808,2002-05-24
101A00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea coccinea,Sphaeralcea coccinea,-111.5353,37.7808,2002-05-24
101A00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Lepidium montanum,Lepidium montanum,-111.5353,37.7808,2001-04-30
101B00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea coccinea,Sphaeralcea coccinea,-111.5326,37.7787,2001-08-06
101B00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.5326,37.7787,2001-07-23
101B00,0,6,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia polyacantha,Opuntia polyacantha,-111.5326,37.7787,2002-05-24
101B00,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Lepidium montanum,Lepidium montanum,-111.5326,37.7787,2001-05-28
300D,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea grossulariifolia,Sphaeralcea grossulariifolia,-111.4677,37.2207,2002-05-16
10A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Chrysothamnus nauseosus,Chrysothamnus nauseosus,-111.4078,37.5068,2000-08-15
10A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Penstemon confusus,Penstemon confusus,-111.4078,37.5068,2001-06-18
10B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Senecio multilobatus,Senecio multilobatus,-111.4069,37.5085,2000-06-06
21A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Heterotheca villosa,Heterotheca villosa,-111.3544,37.8506,2003-06-02
21A99,0,5,Agapostemon angelicus,Agapostemon angelicus/texanus,Salix exigua,Salix exigua,-111.3544,37.8506,2002-05-06
21A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Hymenopappus filifolius,Hymenopappus filifolius,-111.3544,37.8506,2001-06-07
21A99,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.3544,37.8506,2000-06-08
21A99,0,4,Agapostemon angelicus,Agapostemon angelicus/texanus,Melilotus officinalis,Melilotus officinalis,-111.3544,37.8506,2002-06-17
21A99,0,4,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.3544,37.8506,2002-06-17
21A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Tamarix,Tamarix sp.,-111.3544,37.8506,2002-05-20
21A99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Melilotus alba,Melilotus alba,-111.3544,37.8506,2002-07-29
21B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea grossulariifolia,Sphaeralcea grossulariifolia,-111.354,37.8474,2002-06-06
21B99,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Salix exigua,Salix exigua,-111.354,37.8474,2002-05-06
21B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Asclepias,Asclepias sp.,-111.354,37.8474,2000-08-08
21B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Grindelia squarrosa,Grindelia squarrosa,-111.354,37.8474,2000-08-08
21B99,0,4,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea coccinea,Sphaeralcea coccinea,-111.354,37.8474,2000-06-08
21B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sphaeralcea grossulariifolia,Sphaeralcea grossulariifolia,-111.354,37.8474,2000-06-08
21B99,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Heterotheca villosa,Heterotheca villosa,-111.354,37.8474,2002-10-09
21B99,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Melilotus officinalis,Melilotus officinalis,-111.354,37.8474,2002-06-17
2B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Brassicaceae,Brassicaceae sp.,-111.349,37.5068,2001-06-04
2B98,0,3,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia polyacantha,Opuntia polyacantha,-111.349,37.5068,2001-05-21
2B98,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia,Opuntia sp.,-111.349,37.5068,2001-05-21
2B98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Helianthus petiolaris,Helianthus petiolaris,-111.349,37.5068,2001-08-23
2B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Cleome lutea,Cleome lutea,-111.349,37.5068,2001-07-23
2B98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Salsola pestifer,Salsola pestifer,-111.349,37.5068,2001-07-23
2B98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Chrysothamnus,Chrysothamnus sp.,-111.349,37.5068,2001-09-29
2A98,4,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Helianthus petiolaris,Helianthus petiolaris,-111.3435,37.5102,2001-07-04
2A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Sclerocactus whipplei,Sclerocactus whipplei,-111.3435,37.5102,2001-05-07
2A98,1,0,Agapostemon angelicus,Agapostemon angelicus/texanus,Helianthus petiolaris,Helianthus petiolaris,-111.3435,37.5102,2001-08-23
2A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Helianthus petiolaris,Helianthus petiolaris,-111.3435,37.5102,2001-07-23
10A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Poliomintha incana,Poliomintha incana,-111.3269,37.5584,2000-05-05
10A98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Cryptantha flava,Cryptantha flava,-111.3269,37.5584,2000-05-08
10A98,0,2,Agapostemon angelicus,Agapostemon angelicus/texanus,Sclerocactus whipplei,Sclerocactus whipplei,-111.3269,37.5584,2000-05-08
10A98,0,3,Agapostemon angelicus,Agapostemon angelicus/texanus,Opuntia erinacea,Opuntia erinacea,-111.3269,37.5584,2000-05-22
10B98,0,1,Agapostemon angelicus,Agapostemon angelicus/texanus,Phacelia heterophylla,Phacelia heterophylla,-111.3236,37.5608,2000-05-05
