taxonName,originalName
Bryophyta,Bryophyta
Lasioglossum kincaldii,Lasioglossum kincaldii
Lasioglossum aff. diatretum,Lasioglossum aff. diatretum
Ribes Cereum,Ribes Cereum
Anthidiellum robertsoni,Anthidiellum robertsoni
Pelargonium germanum,Pelargonium germanum
Triepeolus verbesinae complex,Triepeolus verbesinae complex
Sphecodes sisymbrii,Sphecodes sisymbrii
Sphecodes boreale,Sphecodes boreale
Ericameria viscidiflora,Ericameria viscidiflora
Hylaeus acantha,Hylaeus acantha
Allium Schoenoprasum,Allium Schoenoprasum
Calliopsis anthidius,Calliopsis anthidius
Lathyrus Latifolius,Lathyrus Latifolius
Apocynum Androsaemifolium,Apocynum Androsaemifolium
,
2019-07-23,2019-07-23
NA ,NA 
Xenoglossodes,Xenoglossodes
USA,USA
Amaria,Amaria
Xenoglossodes agilis,Xenoglossodes agilis
Xenoglossodes rivalis,Xenoglossodes rivalis
Triteleia grandiflora var. howellii,Triteleia grandiflora var. howellii
Micralictoides ruficauda,Micralictoides ruficauda
Anaphalis margaritaceae,Anaphalis margaritaceae
Physocarpa,Physocarpa
Melissodes vosnesenskii,Melissodes vosnesenskii
Hylaeus Mesillae,Hylaeus Mesillae
Osmia macswaini,Osmia macswaini
Anthidium formosa,Anthidium formosa
Lasioglossum trizonatum group,Lasioglossum trizonatum group
Ceratina arizonensus,Ceratina arizonensus
Potentillina,Potentillina
