Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Clavelina huntsmani,"Van Name, 1931",light-bulb tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Clavelinidae,,Clavelina,native,unlisted,reported,unobserved,1995-02-24,Charlie Gibbs,PMLS,,,,,,,51984,
Pycnoclavella stanleyi,"Berrill & Abbott, 1949",yellow social ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Clavelinidae,,Pycnoclavella,native,unlisted,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,,,,,,424274,
Didemnum carnulentum,"Ritter & Forsyth, 1917",Pacific white crust,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,Didemnum,native,unlisted,reported,unobserved,1985-07-29,Andy Lamb,PMLS,,,,,,,344918,
Didemnum spp.,,white glove leather,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,Didemnum,,,new 2013,observed,,,,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976349,,55512,"Reported as 'Didemnun / Trididemnum' in PMLS records, this report includes all whitish, encrusting compound tunicates that often form large sheets. Field identification of these organisms is not possible."
Didemnum vexillum,"Kott, 2002",carpet sea squirt,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,Didemnum,non-native,unlisted,reported,unobserved,2013-10-23,Andy Lamb,PMLS,,,,,,,126506,
Diplosoma listerianum,"(Milne-Edwards, 1841)",gray encrusting compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,Diplosoma,cryoptogenic,unlisted,reported,unobserved,1999-07-31,Charlie Gibbs,PMLS,,,,,,,81778,
Trididemnum alexi,"Lambert, 2003",speckled compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,Trididemnum,native,unlisted,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,,,,,,798823,
Distaplia occidentalis,"Bancroft, 1899",mushroom compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Holozoidae,,Distaplia,native,unlisted,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,,2019-05-04,Larry Taylor,https://www.inaturalist.org/observations/30012080,,347339,
Cystodytes lobatus,"(Ritter, 1900)",lobed compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polycitoridae,,Cystodytes,native,unlisted,reported,unobserved,1993-05-09,Charlie Gibbs,PMLS,,,,,,,339197,
Eudistoma molle,"(Ritter, 1900)",red-dotted compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polycitoridae,,Eudistoma,native,unlisted,reported,unobserved,1994-09-10,Andy Lamb,PMLS,,,,,,,448127,
