Check,Action,observationUrl,Taxon_Local_ID,occurrenceID,catalogNumber,occurrenceRemarks,recordedBy,individualCount,sex,occurrenceStatus,previousIdentifications,associatedReferences,taxonID,scientificName,kingdom,phylum,class,order,suborder,infraorder,superfamily,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,island,country,countryCode,stateProvince,locality,verbatimDepth,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol,georeferenceVerificationStatus,georeferenceRemarks,identificationRemarks,identificationQualifier,samplingProtocol,eventDate,eventTime,year,month,day,fieldNumber,eventRemarks,bibliographicCitation,institutionCode,collectionCode,datasetName,basisOfRecord
1 apparent duplicate,remove,https://www.inaturalist.org/observations/2854812,63386,imerss.org:iNat:2854812,,,Peter,,,PRESENT,Sebastes maliger,,WoRMS:274815,Sebastes maliger,Animalia,Chordata,Actinopterygii,Scorpaeniformes,,,,Sebastidae,Sebastes,,maliger,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,,,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
1 apparent duplicate,retain,https://www.inaturalist.org/observations/2854883,63386,imerss.org:iNat:2854883,,,Peter,,,PRESENT,Sebastes maliger,,WoRMS:274815,Sebastes maliger,Animalia,Chordata,Actinopterygii,Scorpaeniformes,,,,Sebastidae,Sebastes,,maliger,,species,Galiano Island,Canada,CA,British Columbia,,,48.964565,-123.554564,174,Peter,,,,,,,2015-05-16,,2015,5,16,,,,iNaturalist,,,HumanObservation
1 apparent duplicate,retained,https://www.inaturalist.org/observations/84819115,69170,imerss.org:iNat:84819115,,,Andrew Simon,,,PRESENT,Hemigrapsus oregonensis,,WoRMS:444778,Hemigrapsus oregonensis,Animalia,Arthropoda,Malacostraca,Decapoda,Pleocyemata,Brachyura,Grapsoidea,Varunidae,Hemigrapsus,,oregonensis,,species,Galiano Island,Canada,CA,British Columbia,,,48.875897,-123.401226,77,Andrew Simon,,,,,,,2021-06-27,19:06:00,2021,6,27,,,,iNaturalist,,,HumanObservation
1 apparent duplicate,deleted,https://www.inaturalist.org/observations/84819125,69170,imerss.org:iNat:84819125,,,Andrew Simon,,,PRESENT,Hemigrapsus oregonensis,,WoRMS:444778,Hemigrapsus oregonensis,Animalia,Arthropoda,Malacostraca,Decapoda,Pleocyemata,Brachyura,Grapsoidea,Varunidae,Hemigrapsus,,oregonensis,,species,Galiano Island,Canada,CA,British Columbia,,,48.875897,-123.401226,77,Andrew Simon,,,,,,,2021-06-27,19:06:00,2021,6,27,,,,iNaturalist,,,HumanObservation
1 apparent duplicate,remove,https://www.inaturalist.org/observations/84943919,63382,imerss.org:iNat:84943919,,,Catiemac,,,PRESENT,Dermasterias imbricata,,WoRMS:240771,Dermasterias imbricata,Animalia,Echinodermata,Asteroidea,Valvatida,,,,Asteropseidae,Dermasterias,,imbricata,,species,Galiano Island,Canada,CA,British Columbia,,,48.903206,-123.447496,345,Catiemac,,,,,,,2021-06-28,19:00:00,2021,6,28,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2635258,41777,imerss.org:iNat:2635258,,,,,,PRESENT,Lontra canadensis,,WoRMS:159017,Lontra canadensis,Animalia,Chordata,Mammalia,Carnivora,,,,Mustelidae,Lontra,,canadensis,,species,Galiano Island,Canada,CA,British Columbia,,,48.920358,-123.450698,39,,,,,,,,2006-09-04,,2006,9,4,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2635269,41777,imerss.org:iNat:2635269,,,,,,PRESENT,Lontra canadensis,,WoRMS:159017,Lontra canadensis,Animalia,Chordata,Mammalia,Carnivora,,,,Mustelidae,Lontra,,canadensis,,species,Galiano Island,Canada,CA,British Columbia,,,48.920358,-123.450698,39,,,,,,,,2010-11-13,,2010,11,13,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2635275,41777,imerss.org:iNat:2635275,,,,,,PRESENT,Lontra canadensis,,WoRMS:159017,Lontra canadensis,Animalia,Chordata,Mammalia,Carnivora,,,,Mustelidae,Lontra,,canadensis,,species,Galiano Island,Canada,CA,British Columbia,,,48.920358,-123.450698,39,,,,,,,,2006-09-04,,2006,9,4,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2635284,41777,imerss.org:iNat:2635284,,,,,,PRESENT,Lontra canadensis,,WoRMS:159017,Lontra canadensis,Animalia,Chordata,Mammalia,Carnivora,,,,Mustelidae,Lontra,,canadensis,,species,Galiano Island,Canada,CA,British Columbia,,,48.920358,-123.450698,39,,,,,,,,2010-11-13,,2010,11,13,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2755468,52539,imerss.org:iNat:2755468,,,Peter,,,PRESENT,Ophiodon elongatus,,WoRMS:240745,Ophiodon elongatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,,,,Hexagrammidae,Ophiodon,,elongatus,,species,Galiano Island,Canada,CA,British Columbia,,,49.013577,-123.58778,661,Peter,,,,,,,2016-02-18,,2016,2,18,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2755473,52539,imerss.org:iNat:2755473,,,Peter,,,PRESENT,Ophiodon elongatus,,WoRMS:240745,Ophiodon elongatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,,,,Hexagrammidae,Ophiodon,,elongatus,,species,Galiano Island,Canada,CA,British Columbia,,,49.013577,-123.58778,661,Peter,,,,,,,2016-02-18,,2016,2,18,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2755503,52539,imerss.org:iNat:2755503,,,Peter,,,PRESENT,Ophiodon elongatus,,WoRMS:240745,Ophiodon elongatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,,,,Hexagrammidae,Ophiodon,,elongatus,,species,Galiano Island,Canada,CA,British Columbia,,,49.013577,-123.58778,661,Peter,,,,,,,2016-02-18,,2016,2,18,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2755508,52539,imerss.org:iNat:2755508,,,Peter,,,PRESENT,Ophiodon elongatus,,WoRMS:240745,Ophiodon elongatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,,,,Hexagrammidae,Ophiodon,,elongatus,,species,Galiano Island,Canada,CA,British Columbia,,,49.013577,-123.58778,661,Peter,,,,,,,2016-02-18,,2016,2,18,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2763393,47702,imerss.org:iNat:2763393,,,Peter,,,PRESENT,Pachycerianthus fimbriatus,,WoRMS:283820,Pachycerianthus fimbriatus,Animalia,Cnidaria,Anthozoa,Spirularia,,,,Cerianthidae,Pachycerianthus,,fimbriatus,,species,Galiano Island,Canada,CA,British Columbia,,,48.929052,-123.476028,174,Peter,,,,,,,2016-02-07,,2016,2,7,,,,iNaturalist,,,HumanObservation
2 not duplicate (time is not accounted for),retain,https://www.inaturalist.org/observations/2763409,47477,imerss.org:iNat:2763409,,,Peter,,,PRESENT,Dirona albolineata,,WoRMS:581837,Dirona albolineata,Animalia,Mollusca,Gastropoda,Nudibranchia,Cladobranchia,,Proctonotoidea,Dironidae,Dirona,,albolineata,,species,Galiano Island,Canada,CA,British Columbia,,,48.929052,-123.476028,174,Peter,,,,,,,2016-02-07,,2016,2,7,,,,iNaturalist,,,HumanObservation
