Taxon,Author,Common Name,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,iNat Observation,iNaturalist Link,ID,iNaturalist Photo,Notes
Porichthys notatus,"Girard, 1854",plainfin midshipman,confirmed,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,2016-05-08,Karolle Wall,observed,http://www.inaturalist.org/observations/3706223,60021,https://static.inaturalist.org/photos/4303798/medium.jpg?1468968364,
Clupea pallasii,"Valenciennes in Cuvier & Valenciennes, 1847",Pacific herring,reported,1973-09-21,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,
Engraulis mordax,"Girard, 1854",northern anchovy,reported,2006-12-02,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,
Gadus chalcogrammus,"Pallas, 1814",walleye pollock,reported,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,reported as Theragra chalcogramma
Gadus macrocephalus,"Tilesius, 1810",Pacific cod,confirmed,1994-02-26,Andy Lamb & Donna Gibbs,PMLS,2018-05-18,Karolle Wall,observed,https://www.inaturalist.org/observations/12684562,180029,https://static.inaturalist.org/photos/18361263/medium.jpg?1526928964,
Aulorhynchus flavidus,"Gill, 1861",tubesnout,reported,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,
Gasterosteus aculeatus,"Linnaeus, 1758",three-spined stickleback,confirmed,2000-01-01,Keith Erickson,"1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC",2016-06-20,Karolle Wall,observed,http://www.inaturalist.org/observations/4014949,48403,https://static.inaturalist.org/photos/4741820/medium.jpg?1472785436,
Gobiesox maeandricus,"(Girard, 1858)",northern clingfish,confirmed,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,2018-05-18,Karolle Wall,observed,https://www.inaturalist.org/observations/12684292,67409,https://static.inaturalist.org/photos/18360054/medium.jpg?1526927654,
Brosmophycis marginata,"(Ayres, 1854)",red brotula,reported,2010-05-30,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,
Ammodytes personatus,"Girard, 1856",Pacific sand lance,confirmed,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,2011-05-20,Karolle Wall,observed,http://www.inaturalist.org/observations/4028615,130238,https://static.inaturalist.org/photos/4762503/medium.jpg?1472949647,
