Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Aplidium californicum,"(Ritter & Forsyth, 1917)",California sea pork,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Polyclinidae,,,,reported,unobserved,1994-10-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Aplidium solidum,"(Ritter & Forsyth, 1917)",red ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Aplousobranchia,,,Polyclinidae,,,,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Ascidia columbiana,"(Huntsman, 1912)",sea blisters,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Phlebobranchia,,,Ascidiidae,,,,reported,unobserved,2011-11-18,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Ascidia paratropa,"(Huntsman, 1912)",glassy tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Phlebobranchia,,,Ascidiidae,,,,reported,unobserved,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Bathypera feminalba,"Young & Vazquez, 1995",tiny white tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Stolidobranchia,,,Pyuridae,,,,reported,unobserved,2009-04-04,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Boltenia villosa,"(Stimpson, 1864)",hairy tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Pleurogona,,,Pyuridae,,,,confirmed,observed,1986-04-08,,RBCM,986-00191-019,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854899,https://static.inaturalist.org/photos/3257040/medium.jpg?1459383044,,194568,no metadata in RBCM catalogue
Botrylloides violaceus,"Oka, 1927",lined compound ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,Colonial,,Stolidobranchia,,,Styelidae,,,,reported,unobserved,2007-10-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Chelyosoma productum,"Stimpson, 1864",disc-top tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Phlebobranchia,,,Corellidae,,,,reported,unobserved,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Ciona savignyi,"Herdman, 1882",sea vase,Animalia,Chordata,Tunicata,,Ascidiacea,Solitary,,Phlebobranchia,,,Cionidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Clavelina huntsmani,"Van Name, 1931",light-bulb tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,Social,,Aplousobranchia,,,Clavelinidae,,,,reported,unobserved,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
